sample_index,sample_id,dataset_index,first_mem_line,windows,steps_per_window
0,dvs-test-00000,0,0,4,60
1,dvs-test-00006,6,240,4,60
2,dvs-test-00012,12,480,4,60
3,dvs-test-00013,13,720,4,60
4,dvs-test-00023,23,960,4,60
5,dvs-test-00026,26,1200,4,60
6,dvs-test-00028,28,1440,4,60
7,dvs-test-00029,29,1680,4,60
8,dvs-test-00033,33,1920,4,60
9,dvs-test-00034,34,2160,4,60
10,dvs-test-00038,38,2400,4,60
11,dvs-test-00042,42,2640,4,60
12,dvs-test-00043,43,2880,4,60
13,dvs-test-00052,52,3120,4,60
14,dvs-test-00053,53,3360,4,60
15,dvs-test-00055,55,3600,4,60
16,dvs-test-00057,57,3840,4,60
17,dvs-test-00058,58,4080,4,60
18,dvs-test-00060,60,4320,4,60
19,dvs-test-00062,62,4560,4,60
20,dvs-test-00064,64,4800,4,60
21,dvs-test-00069,69,5040,4,60
22,dvs-test-00071,71,5280,4,60
23,dvs-test-00073,73,5520,4,60
24,dvs-test-00075,75,5760,4,60
25,dvs-test-00077,77,6000,4,60
26,dvs-test-00079,79,6240,4,60
27,dvs-test-00081,81,6480,4,60
28,dvs-test-00087,87,6720,4,60
29,dvs-test-00096,96,6960,4,60
30,dvs-test-00100,100,7200,4,60
31,dvs-test-00102,102,7440,4,60
32,dvs-test-00104,104,7680,4,60
33,dvs-test-00105,105,7920,4,60
34,dvs-test-00106,106,8160,4,60
35,dvs-test-00107,107,8400,4,60
36,dvs-test-00108,108,8640,4,60
37,dvs-test-00110,110,8880,4,60
38,dvs-test-00111,111,9120,4,60
39,dvs-test-00112,112,9360,4,60
40,dvs-test-00115,115,9600,4,60
41,dvs-test-00116,116,9840,4,60
42,dvs-test-00117,117,10080,4,60
43,dvs-test-00121,121,10320,4,60
44,dvs-test-00122,122,10560,4,60
45,dvs-test-00123,123,10800,4,60
46,dvs-test-00125,125,11040,4,60
47,dvs-test-00126,126,11280,4,60
48,dvs-test-00127,127,11520,4,60
49,dvs-test-00129,129,11760,4,60
50,dvs-test-00131,131,12000,4,60
51,dvs-test-00134,134,12240,4,60
52,dvs-test-00139,139,12480,4,60
53,dvs-test-00140,140,12720,4,60
54,dvs-test-00142,142,12960,4,60
55,dvs-test-00147,147,13200,4,60
56,dvs-test-00148,148,13440,4,60
57,dvs-test-00149,149,13680,4,60
58,dvs-test-00150,150,13920,4,60
59,dvs-test-00152,152,14160,4,60
60,dvs-test-00153,153,14400,4,60
61,dvs-test-00154,154,14640,4,60
62,dvs-test-00157,157,14880,4,60
63,dvs-test-00158,158,15120,4,60
64,dvs-test-00160,160,15360,4,60
65,dvs-test-00165,165,15600,4,60
66,dvs-test-00166,166,15840,4,60
67,dvs-test-00168,168,16080,4,60
68,dvs-test-00169,169,16320,4,60
69,dvs-test-00173,173,16560,4,60
70,dvs-test-00176,176,16800,4,60
71,dvs-test-00179,179,17040,4,60
72,dvs-test-00180,180,17280,4,60
73,dvs-test-00181,181,17520,4,60
74,dvs-test-00182,182,17760,4,60
75,dvs-test-00186,186,18000,4,60
76,dvs-test-00187,187,18240,4,60
77,dvs-test-00189,189,18480,4,60
78,dvs-test-00190,190,18720,4,60
79,dvs-test-00191,191,18960,4,60
80,dvs-test-00199,199,19200,4,60
81,dvs-test-00202,202,19440,4,60
82,dvs-test-00205,205,19680,4,60
83,dvs-test-00206,206,19920,4,60
84,dvs-test-00215,215,20160,4,60
85,dvs-test-00220,220,20400,4,60
86,dvs-test-00226,226,20640,4,60
87,dvs-test-00227,227,20880,4,60
88,dvs-test-00228,228,21120,4,60
89,dvs-test-00230,230,21360,4,60
90,dvs-test-00231,231,21600,4,60
91,dvs-test-00233,233,21840,4,60
92,dvs-test-00235,235,22080,4,60
93,dvs-test-00237,237,22320,4,60
94,dvs-test-00240,240,22560,4,60
95,dvs-test-00241,241,22800,4,60
96,dvs-test-00242,242,23040,4,60
97,dvs-test-00246,246,23280,4,60
98,dvs-test-00247,247,23520,4,60
99,dvs-test-00248,248,23760,4,60
100,dvs-test-00249,249,24000,4,60
101,dvs-test-00251,251,24240,4,60
102,dvs-test-00257,257,24480,4,60
103,dvs-test-00258,258,24720,4,60
