sample_index,sample_id,dataset_index,first_mem_line,windows,steps_per_window
0,dvs-test-00001,1,0,4,60
1,dvs-test-00002,2,240,4,60
2,dvs-test-00003,3,480,4,60
3,dvs-test-00004,4,720,4,60
4,dvs-test-00005,5,960,4,60
5,dvs-test-00007,7,1200,4,60
6,dvs-test-00008,8,1440,4,60
7,dvs-test-00009,9,1680,4,60
8,dvs-test-00010,10,1920,4,60
9,dvs-test-00011,11,2160,4,60
10,dvs-test-00014,14,2400,4,60
11,dvs-test-00015,15,2640,4,60
12,dvs-test-00016,16,2880,4,60
13,dvs-test-00017,17,3120,4,60
14,dvs-test-00018,18,3360,4,60
15,dvs-test-00019,19,3600,4,60
16,dvs-test-00020,20,3840,4,60
17,dvs-test-00021,21,4080,4,60
18,dvs-test-00022,22,4320,4,60
19,dvs-test-00024,24,4560,4,60
20,dvs-test-00025,25,4800,4,60
21,dvs-test-00027,27,5040,4,60
22,dvs-test-00030,30,5280,4,60
23,dvs-test-00031,31,5520,4,60
24,dvs-test-00032,32,5760,4,60
25,dvs-test-00035,35,6000,4,60
26,dvs-test-00036,36,6240,4,60
27,dvs-test-00037,37,6480,4,60
28,dvs-test-00039,39,6720,4,60
29,dvs-test-00040,40,6960,4,60
30,dvs-test-00041,41,7200,4,60
31,dvs-test-00044,44,7440,4,60
32,dvs-test-00045,45,7680,4,60
33,dvs-test-00046,46,7920,4,60
34,dvs-test-00047,47,8160,4,60
35,dvs-test-00048,48,8400,4,60
36,dvs-test-00049,49,8640,4,60
37,dvs-test-00050,50,8880,4,60
38,dvs-test-00051,51,9120,4,60
39,dvs-test-00054,54,9360,4,60
40,dvs-test-00056,56,9600,4,60
41,dvs-test-00059,59,9840,4,60
42,dvs-test-00061,61,10080,4,60
43,dvs-test-00063,63,10320,4,60
44,dvs-test-00065,65,10560,4,60
45,dvs-test-00066,66,10800,4,60
46,dvs-test-00067,67,11040,4,60
47,dvs-test-00068,68,11280,4,60
48,dvs-test-00070,70,11520,4,60
49,dvs-test-00072,72,11760,4,60
50,dvs-test-00074,74,12000,4,60
51,dvs-test-00076,76,12240,4,60
52,dvs-test-00078,78,12480,4,60
53,dvs-test-00080,80,12720,4,60
54,dvs-test-00082,82,12960,4,60
55,dvs-test-00083,83,13200,4,60
56,dvs-test-00084,84,13440,4,60
57,dvs-test-00085,85,13680,4,60
58,dvs-test-00086,86,13920,4,60
59,dvs-test-00088,88,14160,4,60
60,dvs-test-00089,89,14400,4,60
61,dvs-test-00090,90,14640,4,60
62,dvs-test-00091,91,14880,4,60
63,dvs-test-00092,92,15120,4,60
64,dvs-test-00093,93,15360,4,60
65,dvs-test-00094,94,15600,4,60
66,dvs-test-00095,95,15840,4,60
67,dvs-test-00097,97,16080,4,60
68,dvs-test-00098,98,16320,4,60
69,dvs-test-00099,99,16560,4,60
70,dvs-test-00101,101,16800,4,60
71,dvs-test-00103,103,17040,4,60
72,dvs-test-00109,109,17280,4,60
73,dvs-test-00113,113,17520,4,60
74,dvs-test-00114,114,17760,4,60
75,dvs-test-00118,118,18000,4,60
76,dvs-test-00119,119,18240,4,60
77,dvs-test-00120,120,18480,4,60
78,dvs-test-00124,124,18720,4,60
79,dvs-test-00128,128,18960,4,60
80,dvs-test-00130,130,19200,4,60
81,dvs-test-00132,132,19440,4,60
82,dvs-test-00133,133,19680,4,60
83,dvs-test-00135,135,19920,4,60
84,dvs-test-00136,136,20160,4,60
85,dvs-test-00137,137,20400,4,60
86,dvs-test-00138,138,20640,4,60
87,dvs-test-00141,141,20880,4,60
88,dvs-test-00143,143,21120,4,60
89,dvs-test-00144,144,21360,4,60
90,dvs-test-00145,145,21600,4,60
91,dvs-test-00146,146,21840,4,60
92,dvs-test-00151,151,22080,4,60
93,dvs-test-00155,155,22320,4,60
94,dvs-test-00156,156,22560,4,60
95,dvs-test-00159,159,22800,4,60
96,dvs-test-00161,161,23040,4,60
97,dvs-test-00162,162,23280,4,60
98,dvs-test-00163,163,23520,4,60
99,dvs-test-00164,164,23760,4,60
100,dvs-test-00167,167,24000,4,60
101,dvs-test-00170,170,24240,4,60
102,dvs-test-00171,171,24480,4,60
103,dvs-test-00172,172,24720,4,60
104,dvs-test-00174,174,24960,4,60
105,dvs-test-00175,175,25200,4,60
106,dvs-test-00177,177,25440,4,60
107,dvs-test-00178,178,25680,4,60
108,dvs-test-00183,183,25920,4,60
109,dvs-test-00184,184,26160,4,60
110,dvs-test-00185,185,26400,4,60
111,dvs-test-00188,188,26640,4,60
112,dvs-test-00192,192,26880,4,60
113,dvs-test-00193,193,27120,4,60
114,dvs-test-00194,194,27360,4,60
115,dvs-test-00195,195,27600,4,60
116,dvs-test-00196,196,27840,4,60
117,dvs-test-00197,197,28080,4,60
118,dvs-test-00198,198,28320,4,60
119,dvs-test-00200,200,28560,4,60
120,dvs-test-00201,201,28800,4,60
121,dvs-test-00203,203,29040,4,60
122,dvs-test-00204,204,29280,4,60
123,dvs-test-00207,207,29520,4,60
124,dvs-test-00208,208,29760,4,60
125,dvs-test-00209,209,30000,4,60
126,dvs-test-00210,210,30240,4,60
127,dvs-test-00211,211,30480,4,60
128,dvs-test-00212,212,30720,4,60
129,dvs-test-00213,213,30960,4,60
130,dvs-test-00214,214,31200,4,60
131,dvs-test-00216,216,31440,4,60
132,dvs-test-00217,217,31680,4,60
133,dvs-test-00218,218,31920,4,60
134,dvs-test-00219,219,32160,4,60
135,dvs-test-00221,221,32400,4,60
136,dvs-test-00222,222,32640,4,60
137,dvs-test-00223,223,32880,4,60
138,dvs-test-00224,224,33120,4,60
139,dvs-test-00225,225,33360,4,60
140,dvs-test-00229,229,33600,4,60
141,dvs-test-00232,232,33840,4,60
142,dvs-test-00234,234,34080,4,60
143,dvs-test-00236,236,34320,4,60
144,dvs-test-00238,238,34560,4,60
145,dvs-test-00239,239,34800,4,60
146,dvs-test-00243,243,35040,4,60
147,dvs-test-00244,244,35280,4,60
148,dvs-test-00245,245,35520,4,60
149,dvs-test-00250,250,35760,4,60
150,dvs-test-00252,252,36000,4,60
151,dvs-test-00253,253,36240,4,60
152,dvs-test-00254,254,36480,4,60
153,dvs-test-00255,255,36720,4,60
154,dvs-test-00256,256,36960,4,60
155,dvs-test-00259,259,37200,4,60
156,dvs-test-00260,260,37440,4,60
