sample_position,sample_id,first_mem_line,time_bins
0,shd-train-00005,0,50
1,shd-train-00006,50,50
2,shd-train-00010,100,50
3,shd-train-00013,150,50
4,shd-train-00014,200,50
5,shd-train-00016,250,50
6,shd-train-00023,300,50
7,shd-train-00040,350,50
8,shd-train-00055,400,50
9,shd-train-00058,450,50
10,shd-train-00059,500,50
11,shd-train-00068,550,50
12,shd-train-00076,600,50
13,shd-train-00085,650,50
14,shd-train-00086,700,50
15,shd-train-00093,750,50
16,shd-train-00108,800,50
17,shd-train-00109,850,50
18,shd-train-00132,900,50
19,shd-train-00133,950,50
20,shd-train-00147,1000,50
21,shd-train-00155,1050,50
22,shd-train-00165,1100,50
23,shd-train-00167,1150,50
24,shd-train-00177,1200,50
25,shd-train-00180,1250,50
26,shd-train-00181,1300,50
27,shd-train-00211,1350,50
28,shd-train-00227,1400,50
29,shd-train-00231,1450,50
30,shd-train-00232,1500,50
31,shd-train-00233,1550,50
32,shd-train-00235,1600,50
33,shd-train-00248,1650,50
34,shd-train-00262,1700,50
35,shd-train-00268,1750,50
36,shd-train-00278,1800,50
37,shd-train-00287,1850,50
38,shd-train-00289,1900,50
39,shd-train-00302,1950,50
40,shd-train-00306,2000,50
41,shd-train-00313,2050,50
42,shd-train-00318,2100,50
43,shd-train-00337,2150,50
44,shd-train-00349,2200,50
45,shd-train-00352,2250,50
46,shd-train-00354,2300,50
47,shd-train-00360,2350,50
48,shd-train-00364,2400,50
49,shd-train-00365,2450,50
50,shd-train-00368,2500,50
51,shd-train-00378,2550,50
52,shd-train-00396,2600,50
53,shd-train-00397,2650,50
54,shd-train-00401,2700,50
55,shd-train-00405,2750,50
56,shd-train-00416,2800,50
57,shd-train-00429,2850,50
58,shd-train-00437,2900,50
59,shd-train-00438,2950,50
60,shd-train-00441,3000,50
61,shd-train-00446,3050,50
62,shd-train-00457,3100,50
63,shd-train-00464,3150,50
64,shd-train-00487,3200,50
65,shd-train-00497,3250,50
66,shd-train-00515,3300,50
67,shd-train-00524,3350,50
68,shd-train-00535,3400,50
69,shd-train-00543,3450,50
70,shd-train-00554,3500,50
71,shd-train-00564,3550,50
72,shd-train-00569,3600,50
73,shd-train-00579,3650,50
74,shd-train-00588,3700,50
75,shd-train-00595,3750,50
76,shd-train-00606,3800,50
77,shd-train-00607,3850,50
78,shd-train-00609,3900,50
79,shd-train-00610,3950,50
80,shd-train-00613,4000,50
81,shd-train-00615,4050,50
82,shd-train-00617,4100,50
83,shd-train-00626,4150,50
84,shd-train-00634,4200,50
85,shd-train-00649,4250,50
86,shd-train-00654,4300,50
87,shd-train-00681,4350,50
88,shd-train-00698,4400,50
89,shd-train-00703,4450,50
90,shd-train-00704,4500,50
91,shd-train-00730,4550,50
92,shd-train-00734,4600,50
93,shd-train-00755,4650,50
94,shd-train-00779,4700,50
95,shd-train-00789,4750,50
96,shd-train-00797,4800,50
97,shd-train-00798,4850,50
98,shd-train-00814,4900,50
99,shd-train-00825,4950,50
100,shd-train-00836,5000,50
101,shd-train-00856,5050,50
102,shd-train-00871,5100,50
103,shd-train-00874,5150,50
104,shd-train-00883,5200,50
105,shd-train-00887,5250,50
106,shd-train-00913,5300,50
107,shd-train-00914,5350,50
108,shd-train-00924,5400,50
109,shd-train-00940,5450,50
110,shd-train-00950,5500,50
111,shd-train-00955,5550,50
112,shd-train-00961,5600,50
113,shd-train-00967,5650,50
114,shd-train-00968,5700,50
115,shd-train-00980,5750,50
116,shd-train-00987,5800,50
117,shd-train-00995,5850,50
118,shd-train-01003,5900,50
119,shd-train-01005,5950,50
120,shd-train-01006,6000,50
121,shd-train-01017,6050,50
122,shd-train-01026,6100,50
123,shd-train-01030,6150,50
124,shd-train-01046,6200,50
125,shd-train-01054,6250,50
126,shd-train-01059,6300,50
127,shd-train-01063,6350,50
128,shd-train-01064,6400,50
129,shd-train-01072,6450,50
130,shd-train-01075,6500,50
131,shd-train-01085,6550,50
132,shd-train-01095,6600,50
133,shd-train-01112,6650,50
134,shd-train-01131,6700,50
135,shd-train-01134,6750,50
136,shd-train-01155,6800,50
137,shd-train-01163,6850,50
138,shd-train-01166,6900,50
139,shd-train-01167,6950,50
140,shd-train-01172,7000,50
141,shd-train-01174,7050,50
142,shd-train-01178,7100,50
143,shd-train-01192,7150,50
144,shd-train-01193,7200,50
145,shd-train-01224,7250,50
146,shd-train-01227,7300,50
147,shd-train-01232,7350,50
148,shd-train-01233,7400,50
149,shd-train-01238,7450,50
150,shd-train-01239,7500,50
151,shd-train-01240,7550,50
152,shd-train-01249,7600,50
153,shd-train-01281,7650,50
154,shd-train-01310,7700,50
155,shd-train-01344,7750,50
156,shd-train-01347,7800,50
157,shd-train-01349,7850,50
158,shd-train-01362,7900,50
159,shd-train-01380,7950,50
160,shd-train-01391,8000,50
161,shd-train-01395,8050,50
162,shd-train-01406,8100,50
163,shd-train-01410,8150,50
164,shd-train-01414,8200,50
165,shd-train-01420,8250,50
166,shd-train-01431,8300,50
167,shd-train-01434,8350,50
168,shd-train-01440,8400,50
169,shd-train-01449,8450,50
170,shd-train-01454,8500,50
171,shd-train-01459,8550,50
172,shd-train-01461,8600,50
173,shd-train-01464,8650,50
174,shd-train-01470,8700,50
175,shd-train-01491,8750,50
176,shd-train-01517,8800,50
177,shd-train-01534,8850,50
178,shd-train-01538,8900,50
179,shd-train-01549,8950,50
180,shd-train-01559,9000,50
181,shd-train-01597,9050,50
182,shd-train-01600,9100,50
183,shd-train-01613,9150,50
184,shd-train-01633,9200,50
185,shd-train-01641,9250,50
186,shd-train-01657,9300,50
187,shd-train-01661,9350,50
188,shd-train-01667,9400,50
189,shd-train-01668,9450,50
190,shd-train-01677,9500,50
191,shd-train-01678,9550,50
192,shd-train-01701,9600,50
193,shd-train-01709,9650,50
194,shd-train-01710,9700,50
