sample_position,sample_id,first_mem_line,time_bins
0,shd-test-00005,0,50
1,shd-test-00011,50,50
2,shd-test-00012,100,50
3,shd-test-00014,150,50
4,shd-test-00019,200,50
5,shd-test-00025,250,50
6,shd-test-00026,300,50
7,shd-test-00030,350,50
8,shd-test-00035,400,50
9,shd-test-00037,450,50
10,shd-test-00041,500,50
11,shd-test-00042,550,50
12,shd-test-00044,600,50
13,shd-test-00045,650,50
14,shd-test-00047,700,50
15,shd-test-00048,750,50
16,shd-test-00049,800,50
17,shd-test-00050,850,50
18,shd-test-00051,900,50
19,shd-test-00054,950,50
20,shd-test-00055,1000,50
21,shd-test-00058,1050,50
22,shd-test-00059,1100,50
23,shd-test-00061,1150,50
24,shd-test-00063,1200,50
25,shd-test-00065,1250,50
26,shd-test-00066,1300,50
27,shd-test-00067,1350,50
28,shd-test-00071,1400,50
29,shd-test-00074,1450,50
30,shd-test-00076,1500,50
31,shd-test-00084,1550,50
32,shd-test-00088,1600,50
33,shd-test-00092,1650,50
34,shd-test-00093,1700,50
35,shd-test-00094,1750,50
36,shd-test-00097,1800,50
37,shd-test-00102,1850,50
38,shd-test-00105,1900,50
39,shd-test-00109,1950,50
40,shd-test-00116,2000,50
41,shd-test-00119,2050,50
42,shd-test-00120,2100,50
43,shd-test-00121,2150,50
44,shd-test-00122,2200,50
45,shd-test-00125,2250,50
46,shd-test-00131,2300,50
47,shd-test-00133,2350,50
48,shd-test-00140,2400,50
49,shd-test-00142,2450,50
50,shd-test-00145,2500,50
51,shd-test-00150,2550,50
52,shd-test-00151,2600,50
53,shd-test-00152,2650,50
54,shd-test-00155,2700,50
55,shd-test-00156,2750,50
56,shd-test-00157,2800,50
57,shd-test-00161,2850,50
58,shd-test-00162,2900,50
59,shd-test-00163,2950,50
60,shd-test-00170,3000,50
61,shd-test-00173,3050,50
62,shd-test-00174,3100,50
63,shd-test-00175,3150,50
64,shd-test-00179,3200,50
65,shd-test-00181,3250,50
66,shd-test-00182,3300,50
67,shd-test-00184,3350,50
68,shd-test-00185,3400,50
69,shd-test-00187,3450,50
70,shd-test-00188,3500,50
71,shd-test-00191,3550,50
72,shd-test-00192,3600,50
73,shd-test-00199,3650,50
74,shd-test-00202,3700,50
75,shd-test-00203,3750,50
76,shd-test-00204,3800,50
77,shd-test-00208,3850,50
78,shd-test-00211,3900,50
79,shd-test-00214,3950,50
80,shd-test-00216,4000,50
81,shd-test-00219,4050,50
82,shd-test-00220,4100,50
83,shd-test-00225,4150,50
84,shd-test-00228,4200,50
85,shd-test-00230,4250,50
86,shd-test-00231,4300,50
87,shd-test-00234,4350,50
88,shd-test-00241,4400,50
89,shd-test-00242,4450,50
90,shd-test-00243,4500,50
91,shd-test-00248,4550,50
92,shd-test-00249,4600,50
93,shd-test-00254,4650,50
94,shd-test-00259,4700,50
95,shd-test-00264,4750,50
96,shd-test-00266,4800,50
97,shd-test-00268,4850,50
98,shd-test-00270,4900,50
99,shd-test-00271,4950,50
100,shd-test-00275,5000,50
101,shd-test-00278,5050,50
102,shd-test-00284,5100,50
103,shd-test-00286,5150,50
104,shd-test-00287,5200,50
105,shd-test-00294,5250,50
106,shd-test-00295,5300,50
107,shd-test-00298,5350,50
108,shd-test-00301,5400,50
109,shd-test-00302,5450,50
110,shd-test-00305,5500,50
111,shd-test-00308,5550,50
112,shd-test-00310,5600,50
113,shd-test-00314,5650,50
114,shd-test-00315,5700,50
115,shd-test-00327,5750,50
116,shd-test-00332,5800,50
117,shd-test-00334,5850,50
118,shd-test-00335,5900,50
119,shd-test-00337,5950,50
120,shd-test-00340,6000,50
121,shd-test-00342,6050,50
122,shd-test-00345,6100,50
123,shd-test-00351,6150,50
124,shd-test-00354,6200,50
125,shd-test-00356,6250,50
126,shd-test-00358,6300,50
127,shd-test-00359,6350,50
128,shd-test-00360,6400,50
129,shd-test-00361,6450,50
