sample_index,sample_id,dataset_index,label,source_prediction_seed1701,source_prediction_seed2718,source_prediction_seed3141,source_prediction_seed5772,source_prediction_seed8119
0,dvs-test-00001,1,1,1,1,1,1,3
1,dvs-test-00002,2,10,10,10,10,10,10
2,dvs-test-00003,3,2,2,2,2,2,2
3,dvs-test-00004,4,3,3,3,3,3,3
4,dvs-test-00005,5,4,4,4,4,4,4
5,dvs-test-00007,7,6,6,6,6,6,6
6,dvs-test-00008,8,7,7,7,7,7,7
7,dvs-test-00009,9,8,10,9,9,10,10
8,dvs-test-00010,10,9,9,9,9,9,9
9,dvs-test-00011,11,0,0,9,0,8,0
10,dvs-test-00014,14,2,2,2,2,2,2
11,dvs-test-00015,15,3,3,3,3,3,3
12,dvs-test-00016,16,4,4,4,4,4,4
13,dvs-test-00017,17,5,5,5,5,5,5
14,dvs-test-00018,18,6,6,6,6,6,6
15,dvs-test-00019,19,7,7,7,7,7,7
16,dvs-test-00020,20,8,10,8,9,8,10
17,dvs-test-00021,21,9,9,9,9,9,9
18,dvs-test-00022,22,0,8,9,0,8,0
19,dvs-test-00024,24,10,10,10,10,10,10
20,dvs-test-00025,25,2,2,2,2,2,2
21,dvs-test-00027,27,4,4,4,4,4,4
22,dvs-test-00030,30,7,7,7,7,7,7
23,dvs-test-00031,31,8,8,8,8,8,8
24,dvs-test-00032,32,9,9,9,9,9,9
25,dvs-test-00035,35,10,10,9,10,7,10
26,dvs-test-00036,36,2,2,2,2,2,2
27,dvs-test-00037,37,3,3,4,4,4,3
28,dvs-test-00039,39,5,5,5,5,5,5
29,dvs-test-00040,40,6,5,6,5,5,6
30,dvs-test-00041,41,7,7,9,7,7,7
31,dvs-test-00044,44,0,8,8,8,8,8
32,dvs-test-00045,45,1,1,1,1,1,1
33,dvs-test-00046,46,10,10,10,10,10,10
34,dvs-test-00047,47,2,2,2,2,2,2
35,dvs-test-00048,48,3,4,4,1,4,4
36,dvs-test-00049,49,4,4,4,1,4,4
37,dvs-test-00050,50,5,5,5,5,5,5
38,dvs-test-00051,51,6,6,6,6,6,6
39,dvs-test-00054,54,9,8,8,9,8,9
