sample_index,sample_id,dataset_index,label,source_prediction_seed1701,source_prediction_seed2718,source_prediction_seed3141,source_prediction_seed5772,source_prediction_seed8119
0,shd-test-00005,5,5,9,5,5,5,9
1,shd-test-00011,11,14,14,0,0,14,0
2,shd-test-00012,12,12,7,0,17,17,12
3,shd-test-00014,14,0,0,0,0,0,0
4,shd-test-00019,19,13,13,13,13,13,13
5,shd-test-00025,25,9,13,13,13,13,13
6,shd-test-00026,26,0,0,10,0,10,0
7,shd-test-00030,30,6,6,6,6,6,6
8,shd-test-00035,35,8,8,8,8,8,8
9,shd-test-00037,37,10,10,10,10,10,10
10,shd-test-00041,41,8,8,8,8,8,8
11,shd-test-00042,42,6,16,6,6,6,6
12,shd-test-00044,44,11,11,11,11,11,11
13,shd-test-00045,45,8,8,8,8,8,8
14,shd-test-00047,47,17,17,17,17,17,17
15,shd-test-00048,48,5,13,5,5,9,5
16,shd-test-00049,49,7,7,7,7,7,7
17,shd-test-00050,50,13,13,13,13,13,13
18,shd-test-00051,51,11,11,11,11,11,11
19,shd-test-00054,54,11,8,8,8,8,8
20,shd-test-00055,55,6,6,6,6,6,6
21,shd-test-00058,58,14,14,14,14,14,14
22,shd-test-00059,59,0,0,0,17,17,0
23,shd-test-00061,61,18,18,18,18,18,18
24,shd-test-00063,63,13,13,13,13,13,13
25,shd-test-00065,65,18,18,18,18,18,18
26,shd-test-00066,66,13,13,13,13,13,13
27,shd-test-00067,67,5,5,5,5,5,5
28,shd-test-00071,71,13,13,13,13,13,13
29,shd-test-00074,74,10,0,0,0,0,0
30,shd-test-00076,76,4,4,4,4,4,4
31,shd-test-00084,84,7,7,7,7,7,7
32,shd-test-00088,88,15,15,15,15,15,4
33,shd-test-00092,92,16,14,14,14,14,14
34,shd-test-00093,93,8,8,8,8,8,8
35,shd-test-00094,94,19,19,9,19,19,19
36,shd-test-00097,97,1,9,9,9,19,1
37,shd-test-00102,102,13,9,13,13,9,13
38,shd-test-00105,105,13,12,13,12,12,13
39,shd-test-00109,109,10,10,10,10,10,10
40,shd-test-00116,116,11,11,11,11,11,11
41,shd-test-00119,119,4,4,4,4,4,4
42,shd-test-00120,120,1,19,19,19,19,1
43,shd-test-00121,121,12,12,12,12,12,12
44,shd-test-00122,122,12,12,12,12,12,12
45,shd-test-00125,125,17,14,9,14,14,9
46,shd-test-00131,131,3,3,14,3,14,14
47,shd-test-00133,133,0,14,0,0,14,0
48,shd-test-00140,140,1,9,9,9,9,9
49,shd-test-00142,142,6,6,6,6,6,6
50,shd-test-00145,145,15,15,15,15,15,15
51,shd-test-00150,150,5,5,5,5,5,5
52,shd-test-00151,151,5,13,13,13,13,13
53,shd-test-00152,152,8,8,8,8,8,8
54,shd-test-00155,155,15,15,15,15,15,1
55,shd-test-00156,156,7,7,7,7,7,7
56,shd-test-00157,157,2,3,2,2,2,2
57,shd-test-00161,161,16,16,14,16,17,17
58,shd-test-00162,162,10,10,10,10,10,10
59,shd-test-00163,163,9,9,9,9,19,9
60,shd-test-00170,170,18,18,18,18,18,18
61,shd-test-00173,173,12,12,13,12,12,13
62,shd-test-00174,174,19,4,4,1,19,1
63,shd-test-00175,175,5,9,18,18,18,18
64,shd-test-00179,179,14,14,14,14,14,14
65,shd-test-00181,181,9,9,13,9,9,13
66,shd-test-00182,182,5,9,18,18,18,18
67,shd-test-00184,184,13,11,11,11,11,13
68,shd-test-00185,185,7,7,7,7,7,7
69,shd-test-00187,187,7,7,7,7,7,7
70,shd-test-00188,188,17,17,0,17,17,17
71,shd-test-00191,191,17,17,17,17,17,17
72,shd-test-00192,192,13,13,13,13,13,13
73,shd-test-00199,199,14,9,13,13,14,0
74,shd-test-00202,202,6,6,6,6,6,6
75,shd-test-00203,203,0,0,0,0,10,0
76,shd-test-00204,204,6,6,6,6,6,6
77,shd-test-00208,208,19,1,1,1,19,1
78,shd-test-00211,211,12,12,12,12,12,12
79,shd-test-00214,214,12,16,13,12,12,13
80,shd-test-00216,216,12,12,13,12,12,13
81,shd-test-00219,219,3,3,3,3,3,3
82,shd-test-00220,220,3,8,14,14,14,14
83,shd-test-00225,225,0,0,0,0,0,0
84,shd-test-00228,228,15,15,15,15,15,15
85,shd-test-00230,230,9,9,5,5,19,9
86,shd-test-00231,231,9,9,9,9,13,9
87,shd-test-00234,234,14,14,14,14,14,14
88,shd-test-00241,241,2,0,2,2,2,2
89,shd-test-00242,242,6,6,6,6,6,6
90,shd-test-00243,243,6,6,6,6,6,6
91,shd-test-00248,248,1,9,13,13,9,9
92,shd-test-00249,249,7,11,7,7,7,13
93,shd-test-00254,254,11,11,11,11,11,11
94,shd-test-00259,259,12,12,12,12,12,12
95,shd-test-00264,264,1,1,1,1,1,1
96,shd-test-00266,266,15,15,15,15,15,4
97,shd-test-00268,268,18,18,18,18,18,18
98,shd-test-00270,270,13,13,13,5,13,13
99,shd-test-00271,271,3,3,3,3,3,3
100,shd-test-00275,275,9,9,9,9,19,9
101,shd-test-00278,278,10,14,14,10,14,14
102,shd-test-00284,284,3,3,3,3,3,3
103,shd-test-00286,286,8,8,8,8,8,8
104,shd-test-00287,287,0,0,0,0,0,0
105,shd-test-00294,294,19,4,4,4,19,4
106,shd-test-00295,295,11,11,11,11,8,11
107,shd-test-00298,298,10,10,10,10,10,10
108,shd-test-00301,301,11,11,11,11,11,11
109,shd-test-00302,302,13,5,5,13,5,5
110,shd-test-00305,305,16,16,16,16,16,16
111,shd-test-00308,308,7,7,7,7,7,7
112,shd-test-00310,310,18,18,18,18,18,18
113,shd-test-00314,314,9,9,13,13,13,13
114,shd-test-00315,315,14,14,10,10,14,14
115,shd-test-00327,327,16,16,16,16,16,16
116,shd-test-00332,332,11,11,11,11,11,11
117,shd-test-00334,334,2,8,2,2,2,2
118,shd-test-00335,335,15,15,15,15,15,15
119,shd-test-00337,337,4,4,4,4,4,4
120,shd-test-00340,340,2,2,2,2,2,2
121,shd-test-00342,342,10,10,14,10,14,0
122,shd-test-00345,345,1,1,1,1,19,1
123,shd-test-00351,351,14,4,4,4,19,0
124,shd-test-00354,354,11,11,11,11,11,11
125,shd-test-00356,356,7,7,7,7,7,7
126,shd-test-00358,358,8,8,8,8,8,8
127,shd-test-00359,359,17,17,17,17,17,17
128,shd-test-00360,360,19,19,19,19,19,19
129,shd-test-00361,361,3,14,14,14,14,14
130,shd-test-00364,364,12,12,12,12,12,12
131,shd-test-00366,366,16,14,14,14,14,14
132,shd-test-00368,368,4,4,4,4,4,4
133,shd-test-00369,369,15,15,15,15,15,15
134,shd-test-00374,374,6,6,6,6,6,6
135,shd-test-00377,377,19,9,9,1,19,19
136,shd-test-00378,378,17,14,14,14,14,17
137,shd-test-00379,379,4,4,4,4,19,4
138,shd-test-00382,382,14,14,4,4,10,0
139,shd-test-00389,389,6,6,6,6,6,6
140,shd-test-00392,392,2,2,2,2,2,2
141,shd-test-00395,395,12,12,13,12,12,12
142,shd-test-00397,397,12,12,12,12,12,16
143,shd-test-00399,399,3,3,3,3,3,3
144,shd-test-00405,405,13,13,13,13,13,13
145,shd-test-00409,409,7,9,7,7,13,7
146,shd-test-00413,413,1,9,9,1,19,9
147,shd-test-00423,423,3,3,14,3,14,17
148,shd-test-00427,427,3,3,3,3,3,3
149,shd-test-00429,429,16,16,16,16,16,16
150,shd-test-00433,433,6,6,6,6,6,16
151,shd-test-00438,438,7,7,7,7,7,7
152,shd-test-00439,439,1,9,9,9,9,9
153,shd-test-00440,440,18,18,18,18,18,18
154,shd-test-00441,441,5,5,5,5,5,5
155,shd-test-00443,443,15,15,15,15,15,15
156,shd-test-00454,454,16,16,6,16,16,6
157,shd-test-00455,455,9,9,9,9,19,9
158,shd-test-00457,457,10,10,10,10,10,10
159,shd-test-00458,458,7,7,7,7,7,13
160,shd-test-00460,460,13,19,13,19,19,13
161,shd-test-00466,466,6,6,6,6,6,6
162,shd-test-00468,468,12,12,7,12,12,12
163,shd-test-00469,469,10,10,10,10,10,10
164,shd-test-00471,471,12,12,7,12,12,7
165,shd-test-00473,473,3,3,3,3,3,3
166,shd-test-00475,475,17,17,9,17,17,0
167,shd-test-00477,477,1,0,13,13,13,13
168,shd-test-00478,478,11,11,11,11,11,11
169,shd-test-00480,480,19,19,19,19,19,4
170,shd-test-00481,481,16,16,16,6,16,16
171,shd-test-00482,482,0,0,0,17,0,0
172,shd-test-00484,484,8,8,8,8,8,8
173,shd-test-00487,487,0,14,10,10,10,0
174,shd-test-00489,489,18,18,18,18,18,18
175,shd-test-00492,492,2,2,2,2,2,2
176,shd-test-00493,493,5,13,5,13,9,13
177,shd-test-00500,500,18,18,18,18,18,18
178,shd-test-00501,501,19,9,13,9,9,9
179,shd-test-00504,504,11,11,11,11,11,11
180,shd-test-00505,505,5,5,5,5,5,5
181,shd-test-00510,510,1,9,9,9,9,9
182,shd-test-00511,511,13,5,5,5,5,5
183,shd-test-00513,513,17,17,17,17,17,17
184,shd-test-00515,515,18,18,18,18,18,18
185,shd-test-00517,517,19,13,13,13,13,13
186,shd-test-00521,521,17,0,10,0,10,0
187,shd-test-00522,522,0,0,0,0,0,0
188,shd-test-00523,523,15,15,15,15,15,15
189,shd-test-00526,526,2,0,10,14,10,10
190,shd-test-00528,528,10,10,10,10,10,10
191,shd-test-00531,531,13,13,13,13,19,13
192,shd-test-00532,532,3,8,3,8,14,14
193,shd-test-00533,533,12,12,13,11,12,12
194,shd-test-00534,534,12,12,7,7,12,12
195,shd-test-00538,538,5,5,5,5,5,5
196,shd-test-00550,550,16,16,16,16,16,16
197,shd-test-00551,551,11,11,11,11,11,11
198,shd-test-00557,557,17,17,2,17,17,17
199,shd-test-00558,558,16,16,16,16,16,16
200,shd-test-00559,559,10,10,10,10,10,10
201,shd-test-00564,564,6,6,6,6,6,6
202,shd-test-00571,571,13,9,13,19,19,13
203,shd-test-00573,573,10,10,10,10,10,10
204,shd-test-00575,575,19,19,10,10,19,1
205,shd-test-00578,578,14,14,14,14,14,14
206,shd-test-00583,583,7,7,7,7,7,7
207,shd-test-00584,584,12,12,12,12,12,12
208,shd-test-00586,586,1,9,19,19,19,9
209,shd-test-00587,587,19,19,19,19,19,19
210,shd-test-00589,589,12,12,12,12,12,12
211,shd-test-00590,590,11,11,11,11,11,11
212,shd-test-00591,591,12,12,12,12,12,12
213,shd-test-00592,592,11,11,11,11,11,11
214,shd-test-00593,593,9,9,13,9,13,13
215,shd-test-00597,597,15,15,3,15,15,0
216,shd-test-00599,599,16,16,16,16,16,16
217,shd-test-00603,603,7,7,7,7,7,7
218,shd-test-00605,605,17,17,17,17,14,0
219,shd-test-00606,606,1,9,13,1,19,17
220,shd-test-00609,609,18,18,18,18,18,18
221,shd-test-00619,619,8,8,8,8,8,8
222,shd-test-00623,623,9,9,9,9,19,9
223,shd-test-00624,624,4,4,4,4,4,4
224,shd-test-00626,626,9,13,13,9,13,9
225,shd-test-00627,627,13,5,5,5,5,5
226,shd-test-00628,628,18,18,18,18,18,18
227,shd-test-00629,629,9,9,9,9,9,9
228,shd-test-00630,630,2,14,14,14,14,14
229,shd-test-00633,633,17,17,0,17,17,0
230,shd-test-00634,634,11,13,13,13,11,13
231,shd-test-00637,637,9,9,9,9,9,9
232,shd-test-00642,642,5,5,5,5,5,5
233,shd-test-00643,643,18,18,18,18,18,18
234,shd-test-00645,645,10,10,10,10,10,10
235,shd-test-00646,646,6,6,6,6,6,6
236,shd-test-00649,649,4,4,4,4,4,4
237,shd-test-00650,650,3,3,3,3,3,3
238,shd-test-00656,656,8,8,8,8,8,8
239,shd-test-00657,657,12,12,16,16,12,12
240,shd-test-00658,658,0,10,10,19,19,19
241,shd-test-00660,660,12,12,12,12,12,12
242,shd-test-00661,661,13,13,13,13,13,13
243,shd-test-00662,662,12,12,12,12,12,12
244,shd-test-00663,663,19,19,19,19,19,9
245,shd-test-00664,664,9,9,9,9,9,9
