sample_index,variant,device_prediction
0,unrepaired,15
1,unrepaired,15
2,unrepaired,6
3,unrepaired,15
4,unrepaired,15
5,unrepaired,15
6,unrepaired,15
7,unrepaired,2
8,unrepaired,15
9,unrepaired,6
10,unrepaired,6
11,unrepaired,15
12,unrepaired,15
13,unrepaired,15
14,unrepaired,2
15,unrepaired,15
16,unrepaired,2
17,unrepaired,6
18,unrepaired,15
19,unrepaired,15
20,unrepaired,6
21,unrepaired,15
22,unrepaired,15
23,unrepaired,2
24,unrepaired,15
25,unrepaired,6
26,unrepaired,15
27,unrepaired,5
28,unrepaired,8
29,unrepaired,15
30,unrepaired,15
31,unrepaired,15
32,unrepaired,15
33,unrepaired,15
34,unrepaired,2
35,unrepaired,2
36,unrepaired,15
37,unrepaired,15
38,unrepaired,15
39,unrepaired,2
40,unrepaired,6
41,unrepaired,2
42,unrepaired,2
43,unrepaired,6
44,unrepaired,15
45,unrepaired,15
46,unrepaired,2
47,unrepaired,15
48,unrepaired,2
49,unrepaired,15
50,unrepaired,2
51,unrepaired,2
52,unrepaired,15
53,unrepaired,6
54,unrepaired,15
55,unrepaired,2
56,unrepaired,15
57,unrepaired,15
58,unrepaired,6
59,unrepaired,15
60,unrepaired,15
61,unrepaired,15
62,unrepaired,15
63,unrepaired,6
64,unrepaired,2
65,unrepaired,15
66,unrepaired,15
67,unrepaired,15
68,unrepaired,15
69,unrepaired,15
70,unrepaired,15
71,unrepaired,15
72,unrepaired,15
73,unrepaired,15
74,unrepaired,2
75,unrepaired,15
76,unrepaired,15
77,unrepaired,15
78,unrepaired,15
79,unrepaired,15
80,unrepaired,15
81,unrepaired,15
82,unrepaired,15
83,unrepaired,15
84,unrepaired,15
85,unrepaired,15
86,unrepaired,15
87,unrepaired,2
88,unrepaired,15
89,unrepaired,18
90,unrepaired,2
91,unrepaired,15
92,unrepaired,15
93,unrepaired,15
94,unrepaired,2
95,unrepaired,15
96,unrepaired,15
97,unrepaired,15
98,unrepaired,15
99,unrepaired,6
100,unrepaired,15
101,unrepaired,15
102,unrepaired,15
103,unrepaired,6
104,unrepaired,15
105,unrepaired,15
106,unrepaired,15
107,unrepaired,15
108,unrepaired,10
109,unrepaired,5
