benchmark,seed,condition,samples,disagreement_rate,reference_favoring_accuracy_change,target_favoring_accuracy_change,reference_favoring_labels_hash,target_favoring_labels_hash,reference_witness_attains_bound,target_witness_attains_bound
SHD,1701,exponential__fixed,861,0.15447154471544716,0.1544715447154471,0.1544715447154471,3bcfc1655708ffd0f23d25f85c06b8845b43ddde4c9f8c98a7fff568a97dc1b1,3452c819f83a92b550147c522e1d27ba48c9297535d47c0f3dff1ddfe95e3284,True,True
SHD,1701,exponential_euler,861,0.14518002322880372,0.14518002322880375,0.14518002322880375,3bcfc1655708ffd0f23d25f85c06b8845b43ddde4c9f8c98a7fff568a97dc1b1,b645c868086b5eaa28665e7673d633b49d23f16f45c688a9a76bba5824a0894d,True,True
SHD,1701,fixed_q8_weights_q16_state,861,0.04878048780487805,0.04878048780487809,0.04878048780487809,3bcfc1655708ffd0f23d25f85c06b8845b43ddde4c9f8c98a7fff568a97dc1b1,269dd51362563f5baf022c75ceeab65ab3a613449602d81e74e5b8f1de5247e0,True,True
SHD,1701,floor_rounding_saturation,861,0.8408826945412311,0.8408826945412311,0.8408826945412311,3bcfc1655708ffd0f23d25f85c06b8845b43ddde4c9f8c98a7fff568a97dc1b1,f380407daa9376c0058321fc300283a13ccf25948c3e50d676f2063ace8c3ec7,True,True
SHD,1701,pre_integration_threshold,861,0.14634146341463414,0.14634146341463417,0.14634146341463417,3bcfc1655708ffd0f23d25f85c06b8845b43ddde4c9f8c98a7fff568a97dc1b1,62738c9544b458ab3bc89aeeb15e03c03cb684bda9f66561f1ac06a6a98f5bbe,True,True
SHD,1701,pre_threshold__floor,861,0.8373983739837398,0.8373983739837398,0.8373983739837398,3bcfc1655708ffd0f23d25f85c06b8845b43ddde4c9f8c98a7fff568a97dc1b1,dc717c6196b7d5b8cf0df29e75ed9da189ec34140df1883f36dbd82ee29d8742,True,True
SHD,1701,reset__fixed__delay_1,861,0.34610917537746805,0.3461091753774681,0.3461091753774681,3bcfc1655708ffd0f23d25f85c06b8845b43ddde4c9f8c98a7fff568a97dc1b1,a8f7bc183be9ece50e3e695fe732b88952d31419fc8f1a8d2f94bad28e0369fe,True,True
SHD,1701,reset_to_value,861,0.24738675958188153,0.2473867595818815,0.2473867595818815,3bcfc1655708ffd0f23d25f85c06b8845b43ddde4c9f8c98a7fff568a97dc1b1,7e7beb61d32b109ad1350984df4eb492e3bcfcdc97bee946627e2573f28c9253,True,True
SHD,1701,reset_to_value__delay_1,861,0.34610917537746805,0.3461091753774681,0.3461091753774681,3bcfc1655708ffd0f23d25f85c06b8845b43ddde4c9f8c98a7fff568a97dc1b1,70ea7fc9038423fdfa51ab7647b91577821c1dd93f80d4f233176a7f903f80ba,True,True
SHD,1701,synaptic_delay_1,861,0.14634146341463414,0.14634146341463417,0.14634146341463417,3bcfc1655708ffd0f23d25f85c06b8845b43ddde4c9f8c98a7fff568a97dc1b1,62738c9544b458ab3bc89aeeb15e03c03cb684bda9f66561f1ac06a6a98f5bbe,True,True
SHD,2718,exponential__fixed,861,0.15447154471544716,0.1544715447154471,0.1544715447154471,5c6e091abade225de4d1c1aae5631f533078a1c872c1db46361506e6932f34ff,a70ab3a03d1ae630a13a4abbea3c9dd7c7e40243b5e74c0470f93c20432a16af,True,True
SHD,2718,exponential_euler,861,0.1718931475029036,0.17189314750290363,0.17189314750290363,5c6e091abade225de4d1c1aae5631f533078a1c872c1db46361506e6932f34ff,703fa16dc43da72cfa33767936b6ccc8c092e3235b1ffbe634bef56d259b4197,True,True
SHD,2718,fixed_q8_weights_q16_state,861,0.05110336817653891,0.05110336817653893,0.05110336817653893,5c6e091abade225de4d1c1aae5631f533078a1c872c1db46361506e6932f34ff,adc8ba9ae34aabf665b09271a2fac786a7fc95092503f3ff5160693dcb763e67,True,True
SHD,2718,floor_rounding_saturation,861,0.7607433217189314,0.7607433217189314,0.7607433217189314,5c6e091abade225de4d1c1aae5631f533078a1c872c1db46361506e6932f34ff,80e3aae0754e03d461ae88f463f26577da6adb918763935d4f312171c0974102,True,True
SHD,2718,pre_integration_threshold,861,0.2183507549361208,0.21835075493612077,0.21835075493612077,5c6e091abade225de4d1c1aae5631f533078a1c872c1db46361506e6932f34ff,bf95b48bb36a66d2f3e6898d16f5c6ae27337b5eb2c58c7c8512cb35ce622fab,True,True
SHD,2718,pre_threshold__floor,861,0.7711962833914053,0.7711962833914053,0.7711962833914053,5c6e091abade225de4d1c1aae5631f533078a1c872c1db46361506e6932f34ff,494c3ce0e7dcdea1184b3f134ab092b138509bef4f1ffe044dfa00366b97adbb,True,True
SHD,2718,reset__fixed__delay_1,861,0.429732868757259,0.429732868757259,0.429732868757259,5c6e091abade225de4d1c1aae5631f533078a1c872c1db46361506e6932f34ff,ff80786a3e58107cdd22b18c1ff8bad76e9accaab3c7d5193a048e4fd831cc0d,True,True
SHD,2718,reset_to_value,861,0.26480836236933797,0.264808362369338,0.264808362369338,5c6e091abade225de4d1c1aae5631f533078a1c872c1db46361506e6932f34ff,75cd1c043eddf0c9a33b4d35d3e535c99ac09901e4971e227f384bf6acc7a45e,True,True
SHD,2718,reset_to_value__delay_1,861,0.4343786295005807,0.4343786295005807,0.4343786295005807,5c6e091abade225de4d1c1aae5631f533078a1c872c1db46361506e6932f34ff,e3a4cec60cb87885995bfa8ff1058de916ae646cee6d3c38ba2b3c3c5d2818af,True,True
SHD,2718,synaptic_delay_1,861,0.2183507549361208,0.21835075493612077,0.21835075493612077,5c6e091abade225de4d1c1aae5631f533078a1c872c1db46361506e6932f34ff,bf95b48bb36a66d2f3e6898d16f5c6ae27337b5eb2c58c7c8512cb35ce622fab,True,True
SHD,3141,exponential__fixed,861,0.17770034843205576,0.17770034843205573,0.17770034843205573,1a6cc8eb68364cc250fbd7910817d81acb89c5460aa388cbb601c88e02a85761,79be7dcd01c4f695ffcf4f5d4d98933e4a1ed48498bda368002f696e378627af,True,True
SHD,3141,exponential_euler,861,0.18118466898954705,0.181184668989547,0.181184668989547,1a6cc8eb68364cc250fbd7910817d81acb89c5460aa388cbb601c88e02a85761,187513fa60baac1e0ccabfcad6e9b79de8b2406da57fcd52a5249408086d4726,True,True
SHD,3141,fixed_q8_weights_q16_state,861,0.04878048780487805,0.04878048780487809,0.04878048780487809,1a6cc8eb68364cc250fbd7910817d81acb89c5460aa388cbb601c88e02a85761,4130f61b4dccec49698e374c96ad13455c98437b05d41f013014d177c8011e50,True,True
SHD,3141,floor_rounding_saturation,861,0.7560975609756098,0.7560975609756098,0.7560975609756098,1a6cc8eb68364cc250fbd7910817d81acb89c5460aa388cbb601c88e02a85761,f2595d281c5cacd69d405167146fd71ccc09592022d24c12247ea3deb1dc36db,True,True
SHD,3141,pre_integration_threshold,861,0.1718931475029036,0.17189314750290363,0.17189314750290363,1a6cc8eb68364cc250fbd7910817d81acb89c5460aa388cbb601c88e02a85761,96160ac7ea1c1aee257464cc20c1ad97a8601ecbdb39822eaecc3a9cac6f14c3,True,True
SHD,3141,pre_threshold__floor,861,0.759581881533101,0.759581881533101,0.759581881533101,1a6cc8eb68364cc250fbd7910817d81acb89c5460aa388cbb601c88e02a85761,d46cd0dc1fe1cb83030ea344de1919f01b46c30cfbe54700f3b79b525e56d325,True,True
SHD,3141,reset__fixed__delay_1,861,0.39372822299651566,0.39372822299651566,0.39372822299651566,1a6cc8eb68364cc250fbd7910817d81acb89c5460aa388cbb601c88e02a85761,cc6cd428f21bf44f593d3ca5b09bcfbb27907b65a636665b251b52d8e1ce577d,True,True
SHD,3141,reset_to_value,861,0.2601626016260163,0.26016260162601623,0.26016260162601623,1a6cc8eb68364cc250fbd7910817d81acb89c5460aa388cbb601c88e02a85761,079eb08ccebfd4aec7b990cdf86bc638184318fab832e65640067735dee37ba4,True,True
SHD,3141,reset_to_value__delay_1,861,0.38443670150987225,0.3844367015098722,0.3844367015098722,1a6cc8eb68364cc250fbd7910817d81acb89c5460aa388cbb601c88e02a85761,252fffbb70752ced17006ffaa9aaa1681bed3c2969bc48e40a13935fd3eeead7,True,True
