seed,condition,audit_disagreements,audit_samples,audit_disagreement_rate,simultaneous_upper_bound,reference_test_accuracy,target_test_accuracy,accuracy_loss,absolute_accuracy_change,bound_slack_vs_test_change,bound_not_violated
1701,reset_to_value,3,104,0.028846153846153848,0.10158008172026142,0.8522727272727273,0.8787878787878788,-0.02651515151515149,0.02651515151515149,0.07506493020510993,True
1701,exponential_euler,7,104,0.0673076923076923,0.15685161861667685,0.8522727272727273,0.8598484848484849,-0.007575757575757569,0.007575757575757569,0.14927586104091928,True
1701,pre_integration_threshold,0,104,0.0,0.04966940415125787,0.8522727272727273,0.8636363636363636,-0.011363636363636354,0.011363636363636354,0.038305767787621514,True
1701,fixed_q8_weights_q16_state,0,104,0.0,0.04966940415125787,0.8522727272727273,0.8522727272727273,0.0,0.0,0.04966940415125787,True
1701,floor_rounding_saturation,42,104,0.40384615384615385,0.5346968072167273,0.8522727272727273,0.6136363636363636,0.23863636363636365,0.23863636363636365,0.29606044358036365,True
1701,synaptic_delay_1,0,104,0.0,0.04966940415125787,0.8522727272727273,0.8636363636363636,-0.011363636363636354,0.011363636363636354,0.038305767787621514,True
1701,reset_to_value__delay_1,3,104,0.028846153846153848,0.10158008172026142,0.8522727272727273,0.875,-0.022727272727272707,0.022727272727272707,0.07885280899298872,True
1701,exponential__fixed,4,104,0.038461538461538464,0.11618566059441146,0.8522727272727273,0.8674242424242424,-0.015151515151515138,0.015151515151515138,0.10103414544289632,True
1701,pre_threshold__floor,41,104,0.3942307692307692,0.525052125253793,0.8522727272727273,0.6212121212121212,0.23106060606060608,0.23106060606060608,0.2939915191931869,True
1701,reset__fixed__delay_1,3,104,0.028846153846153848,0.10158008172026142,0.8522727272727273,0.8825757575757576,-0.030303030303030276,0.030303030303030276,0.07127705141723115,True
2718,reset_to_value,13,104,0.125,0.23057375117892237,0.8371212121212122,0.8143939393939394,0.022727272727272707,0.022727272727272707,0.20784647845164966,True
2718,exponential_euler,18,104,0.17307692307692307,0.2877096831654036,0.8371212121212122,0.8068181818181818,0.030303030303030387,0.030303030303030387,0.2574066528623732,True
2718,pre_integration_threshold,0,104,0.0,0.04966940415125787,0.8371212121212122,0.8446969696969697,-0.007575757575757569,0.007575757575757569,0.0420936465755003,True
2718,fixed_q8_weights_q16_state,3,104,0.028846153846153848,0.10158008172026142,0.8371212121212122,0.8484848484848485,-0.011363636363636354,0.011363636363636354,0.09021644535662507,True
2718,floor_rounding_saturation,58,104,0.5576923076923077,0.6827665363438342,0.8371212121212122,0.5189393939393939,0.31818181818181823,0.31818181818181823,0.364584718162016,True
