task,family,seed,samples,certified,falsified,unknown,seconds_per_input,certified_fraction,falsified_fraction,unknown_fraction,semantic_upper_bound,accept_1pp,accept_2pp,accept_5pp
SHD,finite 16,1701,861,331,530,0,0.003850638211470067,0.38443670150987225,0.6155632984901278,0.0,0.6618000884822968,False,False,False
SHD,finite 16,2718,861,295,566,0,0.0037998170729804433,0.3426248548199768,0.6573751451800233,0.0,0.7022063584640619,False,False,False
SHD,finite 16,3141,861,331,530,0,0.00389558037161031,0.38443670150987225,0.6155632984901278,0.0,0.6618000884822968,False,False,False
SHD,finite 16,5772,861,345,516,0,0.0038576635308174307,0.40069686411149824,0.5993031358885017,0.0,0.6459874917011885,False,False,False
SHD,finite 16,8119,861,365,496,0,0.003831956329789017,0.42392566782810687,0.5760743321718932,0.0,0.6233055050414325,False,False,False
SHD,reset continuous,1701,861,347,330,184,49.75901969999995,0.40301974448315914,0.3832752613240418,0.21370499419279906,0.6437241565504443,False,False,False
SHD,reset continuous,2718,861,236,334,291,54.32014960000015,0.27409988385598144,0.3879210220673635,0.33797909407665505,0.7675642033471577,False,False,False
SHD,reset continuous,3141,861,290,334,237,50.09154540000054,0.33681765389082463,0.3879210220673635,0.27526132404181186,0.7077882407152547,False,False,False
SHD,reset continuous,5772,861,304,326,231,55.28843760000018,0.3530778164924506,0.3786295005807201,0.2682926829268293,0.6921400989975106,False,False,False
SHD,reset continuous,8119,861,282,262,317,49.450816000000486,0.32752613240418116,0.3042973286875726,0.3681765389082462,0.7167033891115209,False,False,False
DVS Gesture,finite 16,1701,104,76,28,0,0.18164059519236056,0.7307692307692307,0.2692307692307692,0.0,0.40636370560491697,False,False,False
DVS Gesture,finite 16,2718,104,63,41,0,0.09833167500003653,0.6057692307692307,0.3942307692307692,0.0,0.5363435033342394,False,False,False
DVS Gesture,finite 16,3141,104,47,57,0,0.08713806346153993,0.4519230769230769,0.5480769230769231,0.0,0.6841272912421181,False,False,False
DVS Gesture,finite 16,5772,104,48,56,0,0.08847380961532718,0.46153846153846156,0.5384615384615384,0.0,0.6752593251964574,False,False,False
DVS Gesture,finite 16,8119,104,66,38,0,0.0855455365384002,0.6346153846153846,0.36538461538461536,0.0,0.5071994682794507,False,False,False
N-MNIST,finite 16,1701,6005,5825,180,0,0.02720653082431274,0.9700249791840133,0.02997502081598668,0.0,0.036686400480875264,False,False,True
N-MNIST,finite 16,2718,6005,5868,137,0,0.03234002181515379,0.9771856786011657,0.022814321398834304,0.0,0.028767198579669306,False,False,True
N-MNIST,finite 16,3141,6005,5882,123,0,0.027733312905913406,0.9795170691090758,0.02048293089092423,0.0,0.026161571149111218,False,False,True
N-MNIST,finite 16,5772,6005,5886,119,0,0.01630372436303059,0.9801831806827643,0.019816819317235636,0.0,0.0254140791920435,False,False,True
N-MNIST,finite 16,8119,6005,5864,141,0,0.019227485412156086,0.9765195670274771,0.023480432972522898,0.0,0.02950887560977336,False,False,True
