seed,condition,semantics_hash,audit_disagreements,audit_samples,audit_disagreement_rate,simultaneous_upper_bound,reference_test_accuracy,target_test_accuracy,accuracy_loss,absolute_accuracy_change,bound_slack_vs_test_change,bound_not_violated
1701,reset_to_value,5269ce18d12b0085002187bd657de2c0de753165097d1293f1288508bf914b8e,80,6005,0.013322231473771857,0.017622818056683386,0.9725,0.9702,0.0023000000000000798,0.0023000000000000798,0.015322818056683306,True
1701,exponential_euler,9af35dbddb01d42cc50906a6c5783ef9bac82f53530838b84c8accf73fd15c9f,81,6005,0.013488759367194006,0.0178124834298315,0.9725,0.9725,0.0,0.0,0.0178124834298315,True
1701,pre_integration_threshold,a61ea813b6679d4b83300e7ec7b640c2f93f26295d091bcf8abb0156633a4e06,1,6005,0.00016652789342214822,0.0012366615645716394,0.9725,0.9726,-9.999999999998899e-05,9.999999999998899e-05,0.0011366615645716505,True
1701,fixed_q8_weights_q16_state,7537a0bf57a0bf0b7af5b1292cde7fe10a4db5d81d470c285d258691f2330815,34,6005,0.005661948376353039,0.008664256255110137,0.9725,0.9728,-0.00029999999999996696,0.00029999999999996696,0.00836425625511017,True
1701,floor_rounding_saturation,5b176cc182396ee606999b2beb8b6274ffdcf3ad74b12cc1c6d62bb33f3107f6,358,6005,0.05961698584512906,0.06792621094923815,0.9725,0.9328,0.03970000000000007,0.03970000000000007,0.02822621094923808,True
1701,synaptic_delay_1,14ac1404ccac1a4b87ce8c95ae5206c5771885f997ae1f7f310bbf7401e61c76,1,6005,0.00016652789342214822,0.0012366615645716394,0.9725,0.9726,-9.999999999998899e-05,9.999999999998899e-05,0.0011366615645716505,True
1701,reset_to_value__delay_1,5aa9239256abde4ae68e4612d65808e236edc9085e50412faeecf7ad38f26856,80,6005,0.013322231473771857,0.017622818056683386,0.9725,0.9702,0.0023000000000000798,0.0023000000000000798,0.015322818056683306,True
1701,exponential__fixed,85beb2135b38887ed846fde0c9bdc141ea76cb8c8feabd3b9a49784502ea3e04,76,6005,0.012656119900083264,0.016862625781259598,0.9725,0.9728,-0.00029999999999996696,0.00029999999999996696,0.01656262578125963,True
1701,pre_threshold__floor,58e552bb13dd516e74730b6065a295d099b53dbe94a1da89ab9c2392ea3a9fb5,358,6005,0.05961698584512906,0.06792621094923815,0.9725,0.9328,0.03970000000000007,0.03970000000000007,0.02822621094923808,True
1701,reset__fixed__delay_1,db5728379824e7381402fa8150eec5dfaf014240d64ed841c1cee083492f2047,83,6005,0.0138218151540383,0.018191374186091805,0.9725,0.9687,0.0038000000000000256,0.0038000000000000256,0.01439137418609178,True
2718,reset_to_value,5269ce18d12b0085002187bd657de2c0de753165097d1293f1288508bf914b8e,60,6005,0.009991673605328892,0.013793623147355005,0.9751,0.9715,0.0035999999999999366,0.0035999999999999366,0.010193623147355068,True
2718,exponential_euler,9af35dbddb01d42cc50906a6c5783ef9bac82f53530838b84c8accf73fd15c9f,68,6005,0.011323896752706078,0.01533424780727094,0.9751,0.9737,0.0013999999999999568,0.0013999999999999568,0.013934247807270983,True
2718,pre_integration_threshold,a61ea813b6679d4b83300e7ec7b640c2f93f26295d091bcf8abb0156633a4e06,1,6005,0.00016652789342214822,0.0012366615645716394,0.9751,0.9751,0.0,0.0,0.0012366615645716394,True
2718,fixed_q8_weights_q16_state,7537a0bf57a0bf0b7af5b1292cde7fe10a4db5d81d470c285d258691f2330815,46,6005,0.007660283097418817,0.011060071124827014,0.9751,0.9758,-0.0007000000000000339,0.0007000000000000339,0.01036007112482698,True
2718,floor_rounding_saturation,5b176cc182396ee606999b2beb8b6274ffdcf3ad74b12cc1c6d62bb33f3107f6,456,6005,0.07593671940049958,0.08516602649805577,0.9751,0.9202,0.05489999999999995,0.05489999999999995,0.03026602649805582,True
2718,synaptic_delay_1,14ac1404ccac1a4b87ce8c95ae5206c5771885f997ae1f7f310bbf7401e61c76,1,6005,0.00016652789342214822,0.0012366615645716394,0.9751,0.9751,0.0,0.0,0.0012366615645716394,True
2718,reset_to_value__delay_1,5aa9239256abde4ae68e4612d65808e236edc9085e50412faeecf7ad38f26856,60,6005,0.009991673605328892,0.013793623147355005,0.9751,0.9715,0.0035999999999999366,0.0035999999999999366,0.010193623147355068,True
2718,exponential__fixed,85beb2135b38887ed846fde0c9bdc141ea76cb8c8feabd3b9a49784502ea3e04,78,6005,0.01298917568692756,0.017243033789643578,0.9751,0.9727,0.0023999999999999577,0.0023999999999999577,0.01484303378964362,True
2718,pre_threshold__floor,58e552bb13dd516e74730b6065a295d099b53dbe94a1da89ab9c2392ea3a9fb5,456,6005,0.07593671940049958,0.08516602649805577,0.9751,0.9202,0.05489999999999995,0.05489999999999995,0.03026602649805582,True
2718,reset__fixed__delay_1,db5728379824e7381402fa8150eec5dfaf014240d64ed841c1cee083492f2047,71,6005,0.011823480432972523,0.015908714294985332,0.9751,0.9717,0.0033999999999999586,0.0033999999999999586,0.012508714294985374,True
3141,reset_to_value,5269ce18d12b0085002187bd657de2c0de753165097d1293f1288508bf914b8e,50,6005,0.00832639467110741,0.011846759640161575,0.9743,0.9702,0.0041000000000001036,0.0041000000000001036,0.007746759640161471,True
3141,exponential_euler,9af35dbddb01d42cc50906a6c5783ef9bac82f53530838b84c8accf73fd15c9f,60,6005,0.009991673605328892,0.013793623147355005,0.9743,0.9719,0.0024000000000000687,0.0024000000000000687,0.011393623147354936,True
3141,pre_integration_threshold,a61ea813b6679d4b83300e7ec7b640c2f93f26295d091bcf8abb0156633a4e06,0,6005,0.0,0.0008819285019865397,0.9743,0.9743,0.0,0.0,0.0008819285019865397,True
3141,fixed_q8_weights_q16_state,7537a0bf57a0bf0b7af5b1292cde7fe10a4db5d81d470c285d258691f2330815,30,6005,0.004995836802664446,0.007850401792283301,0.9743,0.9732,0.001100000000000101,0.001100000000000101,0.0067504017922832005,True
3141,floor_rounding_saturation,5b176cc182396ee606999b2beb8b6274ffdcf3ad74b12cc1c6d62bb33f3107f6,389,6005,0.06477935054121566,0.07339501555151945,0.9743,0.931,0.043300000000000005,0.043300000000000005,0.030095015551519444,True
3141,synaptic_delay_1,14ac1404ccac1a4b87ce8c95ae5206c5771885f997ae1f7f310bbf7401e61c76,0,6005,0.0,0.0008819285019865397,0.9743,0.9743,0.0,0.0,0.0008819285019865397,True
3141,reset_to_value__delay_1,5aa9239256abde4ae68e4612d65808e236edc9085e50412faeecf7ad38f26856,51,6005,0.008492922564529558,0.012042661923423504,0.9743,0.9702,0.0041000000000001036,0.0041000000000001036,0.0079426619234234,True
3141,exponential__fixed,85beb2135b38887ed846fde0c9bdc141ea76cb8c8feabd3b9a49784502ea3e04,59,6005,0.009825145711906744,0.013600069369254675,0.9743,0.9723,0.0020000000000000018,0.0020000000000000018,0.011600069369254673,True
3141,pre_threshold__floor,58e552bb13dd516e74730b6065a295d099b53dbe94a1da89ab9c2392ea3a9fb5,389,6005,0.06477935054121566,0.07339501555151945,0.9743,0.931,0.043300000000000005,0.043300000000000005,0.030095015551519444,True
3141,reset__fixed__delay_1,db5728379824e7381402fa8150eec5dfaf014240d64ed841c1cee083492f2047,56,6005,0.0093255620316403,0.013017976698435685,0.9743,0.9702,0.0041000000000001036,0.0041000000000001036,0.008917976698435581,True
5772,reset_to_value,5269ce18d12b0085002187bd657de2c0de753165097d1293f1288508bf914b8e,57,6005,0.009492089925062447,0.013212252210776518,0.9753,0.9716,0.0036999999999999256,0.0036999999999999256,0.009512252210776593,True
5772,exponential_euler,9af35dbddb01d42cc50906a6c5783ef9bac82f53530838b84c8accf73fd15c9f,63,6005,0.010491257285595338,0.014372932972960953,0.9753,0.975,0.00029999999999996696,0.00029999999999996696,0.014072932972960986,True
5772,pre_integration_threshold,a61ea813b6679d4b83300e7ec7b640c2f93f26295d091bcf8abb0156633a4e06,0,6005,0.0,0.0008819285019865397,0.9753,0.9752,9.999999999998899e-05,9.999999999998899e-05,0.0007819285019865507,True
5772,fixed_q8_weights_q16_state,7537a0bf57a0bf0b7af5b1292cde7fe10a4db5d81d470c285d258691f2330815,31,6005,0.005162364696086595,0.008054738008770983,0.9753,0.9749,0.00039999999999995595,0.00039999999999995595,0.007654738008771027,True
5772,floor_rounding_saturation,5b176cc182396ee606999b2beb8b6274ffdcf3ad74b12cc1c6d62bb33f3107f6,333,6005,0.05545378850957535,0.0635038559692189,0.9753,0.9445,0.03079999999999994,0.03079999999999994,0.03270385596921896,True
5772,synaptic_delay_1,14ac1404ccac1a4b87ce8c95ae5206c5771885f997ae1f7f310bbf7401e61c76,0,6005,0.0,0.0008819285019865397,0.9753,0.9752,9.999999999998899e-05,9.999999999998899e-05,0.0007819285019865507,True
5772,reset_to_value__delay_1,5aa9239256abde4ae68e4612d65808e236edc9085e50412faeecf7ad38f26856,57,6005,0.009492089925062447,0.013212252210776518,0.9753,0.9716,0.0036999999999999256,0.0036999999999999256,0.009512252210776593,True
5772,exponential__fixed,85beb2135b38887ed846fde0c9bdc141ea76cb8c8feabd3b9a49784502ea3e04,70,6005,0.011656952539550375,0.01571740941776672,0.9753,0.974,0.0012999999999999678,0.0012999999999999678,0.01441740941776675,True
5772,pre_threshold__floor,58e552bb13dd516e74730b6065a295d099b53dbe94a1da89ab9c2392ea3a9fb5,333,6005,0.05545378850957535,0.0635038559692189,0.9753,0.9445,0.03079999999999994,0.03079999999999994,0.03270385596921896,True
5772,reset__fixed__delay_1,db5728379824e7381402fa8150eec5dfaf014240d64ed841c1cee083492f2047,65,6005,0.010824313072439634,0.014758065300877785,0.9753,0.9711,0.0041999999999999815,0.0041999999999999815,0.010558065300877804,True
8119,reset_to_value,5269ce18d12b0085002187bd657de2c0de753165097d1293f1288508bf914b8e,61,6005,0.01015820149875104,0.013986948065673192,0.9736,0.9729,0.0007000000000000339,0.0007000000000000339,0.013286948065673158,True
8119,exponential_euler,9af35dbddb01d42cc50906a6c5783ef9bac82f53530838b84c8accf73fd15c9f,59,6005,0.009825145711906744,0.013600069369254675,0.9736,0.9743,-0.0007000000000000339,0.0007000000000000339,0.012900069369254641,True
8119,pre_integration_threshold,a61ea813b6679d4b83300e7ec7b640c2f93f26295d091bcf8abb0156633a4e06,1,6005,0.00016652789342214822,0.0012366615645716394,0.9736,0.9735,9.999999999998899e-05,9.999999999998899e-05,0.0011366615645716505,True
8119,fixed_q8_weights_q16_state,7537a0bf57a0bf0b7af5b1292cde7fe10a4db5d81d470c285d258691f2330815,35,6005,0.005828476269775187,0.008866349119506262,0.9736,0.9735,9.999999999998899e-05,9.999999999998899e-05,0.008766349119506273,True
8119,floor_rounding_saturation,5b176cc182396ee606999b2beb8b6274ffdcf3ad74b12cc1c6d62bb33f3107f6,410,6005,0.06827643630308076,0.07709117140024255,0.9736,0.9286,0.04500000000000004,0.04500000000000004,0.03209117140024251,True
8119,synaptic_delay_1,14ac1404ccac1a4b87ce8c95ae5206c5771885f997ae1f7f310bbf7401e61c76,1,6005,0.00016652789342214822,0.0012366615645716394,0.9736,0.9735,9.999999999998899e-05,9.999999999998899e-05,0.0011366615645716505,True
8119,reset_to_value__delay_1,5aa9239256abde4ae68e4612d65808e236edc9085e50412faeecf7ad38f26856,63,6005,0.010491257285595338,0.014372932972960953,0.9736,0.9729,0.0007000000000000339,0.0007000000000000339,0.013672932972960919,True
8119,exponential__fixed,85beb2135b38887ed846fde0c9bdc141ea76cb8c8feabd3b9a49784502ea3e04,50,6005,0.00832639467110741,0.011846759640161575,0.9736,0.9744,-0.0008000000000000229,0.0008000000000000229,0.011046759640161552,True
8119,pre_threshold__floor,58e552bb13dd516e74730b6065a295d099b53dbe94a1da89ab9c2392ea3a9fb5,410,6005,0.06827643630308076,0.07709117140024255,0.9736,0.9286,0.04500000000000004,0.04500000000000004,0.03209117140024251,True
8119,reset__fixed__delay_1,db5728379824e7381402fa8150eec5dfaf014240d64ed841c1cee083492f2047,68,6005,0.011323896752706078,0.01533424780727094,0.9736,0.9718,0.0018000000000000238,0.0018000000000000238,0.013534247807270916,True
