seed,all_grid_predictions_match_center_fraction,all_points_unique_trace_fraction,grid_points,inputs,max_unique_predictions,max_unique_spike_traces,mean_unique_predictions,mean_unique_spike_traces,median_unique_spike_traces,p90_unique_spike_traces,prediction_grid_pair_disagreement_fraction,resolution,single_prediction_fraction,single_spike_trace_fraction,trace_grid_pair_disagreement_fraction
1701,0.8828125,0.78125,9,128,3,9,1.140625,8.734375,9.0,9.0,0.04079861111111116,3,0.8828125,0.0,0.8784722222222222
1701,0.859375,0.0703125,25,128,4,25,1.171875,21.25,21.5,24.0,0.04843750000000002,5,0.859375,0.0,0.936875
1701,0.84375,0.0,81,128,4,68,1.203125,45.71875,45.0,61.3,0.04851466049382713,9,0.84375,0.0,0.9506172839506173
1701,0.8203125,0.0,289,128,4,146,1.2265625,75.4453125,70.0,114.3,0.0486051038062284,17,0.8203125,0.0,0.9492863321799307
2718,0.796875,0.875,9,128,3,9,1.21875,8.8671875,9.0,9.0,0.05555555555555558,3,0.796875,0.0,0.8784722222222222
2718,0.796875,0.0859375,25,128,3,25,1.21875,21.8828125,22.0,24.0,0.05437499999999995,5,0.796875,0.0,0.939375
2718,0.796875,0.0,81,128,3,73,1.21875,50.2109375,52.0,62.0,0.05237268518518523,9,0.796875,0.0,0.9578510802469136
2718,0.7890625,0.0,289,128,3,164,1.234375,87.546875,91.5,122.6,0.05044333910034604,17,0.7890625,0.0,0.9569636678200693
3141,0.8359375,0.796875,9,128,3,9,1.171875,8.7421875,9.0,9.0,0.05034722222222221,3,0.8359375,0.0,0.8758680555555556
3141,0.8125,0.109375,25,128,4,25,1.203125,21.390625,22.0,25.0,0.04718750000000005,5,0.8125,0.0,0.9359375
3141,0.8046875,0.0,81,128,4,72,1.2109375,46.6328125,48.0,61.3,0.04552469135802473,9,0.8046875,0.0,0.9516782407407407
3141,0.7890625,0.0,289,128,5,152,1.2421875,79.1640625,78.0,119.0,0.043333693771626325,17,0.7890625,0.0,0.9506650086505191
5772,0.890625,0.78125,9,128,2,9,1.109375,8.75,9.0,9.0,0.03298611111111116,3,0.890625,0.0,0.8715277777777778
5772,0.8828125,0.078125,25,128,3,25,1.1328125,21.078125,22.0,24.0,0.03125,5,0.8828125,0.0,0.9321875
5772,0.859375,0.0,81,128,4,69,1.1875,46.09375,47.0,60.0,0.03356481481481477,9,0.859375,0.0,0.9476273148148148
5772,0.8515625,0.0,289,128,4,144,1.1953125,78.9296875,77.0,117.0,0.032006920415224904,17,0.8515625,0.0,0.9476913927335641
8119,0.8515625,0.8671875,9,128,3,9,1.1640625,8.8203125,9.0,9.0,0.04166666666666663,3,0.8515625,0.0,0.8802083333333334
8119,0.8359375,0.109375,25,128,3,25,1.1875,21.75,22.0,25.0,0.044062500000000004,5,0.8359375,0.0,0.9415625
8119,0.8046875,0.0,81,128,3,73,1.21875,49.078125,50.5,65.0,0.04388503086419748,9,0.8046875,0.0,0.9557291666666666
8119,0.796875,0.0,289,128,3,162,1.2265625,87.265625,86.5,129.89999999999998,0.04319852941176472,17,0.796875,0.0,0.9560715830449827
