member_index,member_label,semantics_hash,integration_rule,threshold_timing,reset_rule,synaptic_delay_steps,maximum_polygon_leaves,certified,certified_parameter_fraction,unresolved_parameter_fraction,branch_certified_leaves,affine_certified_leaves,unresolved_leaves,branch_cap_hits,branch_prediction_rejections,seconds
0,"FE, post, sub, d0",414b9d77d679005e3ab7049b66099bd5419433ac57c87eabe6e77228bbba68c1,forward_euler,post_integration,subtractive,0,16,False,0.04520541007712345,0.9547945899228766,5,0,11,25,0,6.480848100000003
0,"FE, post, sub, d0",414b9d77d679005e3ab7049b66099bd5419433ac57c87eabe6e77228bbba68c1,forward_euler,post_integration,subtractive,0,64,False,0.3133586539301869,0.6866413460698131,23,0,41,103,0,34.015563800000564
0,"FE, post, sub, d0",414b9d77d679005e3ab7049b66099bd5419433ac57c87eabe6e77228bbba68c1,forward_euler,post_integration,subtractive,0,256,True,1.0,0.0,174,0,0,172,0,177.03712150000047
1,"FE, post, sub, d1",506328f5f688e853fedf1ba40e3f14333f305df5f5cfeae7db2b7cffe3ff4667,forward_euler,post_integration,subtractive,1,16,False,1.495753499051865e-05,0.9999850424650095,1,0,15,30,0,7.806446900000083
1,"FE, post, sub, d1",506328f5f688e853fedf1ba40e3f14333f305df5f5cfeae7db2b7cffe3ff4667,forward_euler,post_integration,subtractive,1,64,False,0.4082928541388499,0.59170714586115,24,0,40,103,0,40.482330799999545
1,"FE, post, sub, d1",506328f5f688e853fedf1ba40e3f14333f305df5f5cfeae7db2b7cffe3ff4667,forward_euler,post_integration,subtractive,1,256,True,1.0,0.0,186,0,0,185,0,211.6373292999997
2,"FE, post, value, d0",4d508a4e452afb56ebcb40f2095ee460674fc41e941cdbb4bdcf0392280ae97f,forward_euler,post_integration,to_value,0,16,False,0.4544874627646176,0.5455125372353824,10,0,6,21,0,10.614412799999627
2,"FE, post, value, d0",4d508a4e452afb56ebcb40f2095ee460674fc41e941cdbb4bdcf0392280ae97f,forward_euler,post_integration,to_value,0,64,True,1.0,0.0,25,0,0,24,0,25.322167999999692
2,"FE, post, value, d0",4d508a4e452afb56ebcb40f2095ee460674fc41e941cdbb4bdcf0392280ae97f,forward_euler,post_integration,to_value,0,256,True,1.0,0.0,25,0,0,24,0,26.07381879999957
3,"FE, post, value, d1",7db1f1b43f697a8550a62fa03faabc574a8c8e0779457f8362c693c43c65c746,forward_euler,post_integration,to_value,1,16,False,0.0023702655715915188,0.9976297344284085,6,0,10,24,0,7.718082999999751
3,"FE, post, value, d1",7db1f1b43f697a8550a62fa03faabc574a8c8e0779457f8362c693c43c65c746,forward_euler,post_integration,to_value,1,64,False,0.8160807452389633,0.18391925476103665,51,0,13,75,0,95.4215266000001
3,"FE, post, value, d1",7db1f1b43f697a8550a62fa03faabc574a8c8e0779457f8362c693c43c65c746,forward_euler,post_integration,to_value,1,256,True,1.0,0.0,78,0,0,76,0,129.55645839999943
4,"FE, pre, sub, d0",2d7df78ec6c8db877e3404e66b2585a2350499ec0bebedae44a21fb990960295,forward_euler,pre_integration,subtractive,0,16,False,0.0037630284301847583,0.9962369715698153,2,0,14,29,0,8.515173400000094
4,"FE, pre, sub, d0",2d7df78ec6c8db877e3404e66b2585a2350499ec0bebedae44a21fb990960295,forward_euler,pre_integration,subtractive,0,64,False,0.4081719860718895,0.5918280139281105,24,0,40,103,0,45.4739739000006
4,"FE, pre, sub, d0",2d7df78ec6c8db877e3404e66b2585a2350499ec0bebedae44a21fb990960295,forward_euler,pre_integration,subtractive,0,256,True,1.0,0.0,184,0,0,183,0,232.65097359999982
5,"FE, pre, sub, d1",e238fb3035f02e3a53322818408a4b0ab2eab83d7015d7b36ba1f40b46d216a7,forward_euler,pre_integration,subtractive,1,16,False,0.0012683194394551972,0.9987316805605448,1,0,15,30,0,8.1732348000005
5,"FE, pre, sub, d1",e238fb3035f02e3a53322818408a4b0ab2eab83d7015d7b36ba1f40b46d216a7,forward_euler,pre_integration,subtractive,1,64,False,0.18668750698405837,0.8133124930159417,14,0,50,113,0,43.70835269999952
5,"FE, pre, sub, d1",e238fb3035f02e3a53322818408a4b0ab2eab83d7015d7b36ba1f40b46d216a7,forward_euler,pre_integration,subtractive,1,256,True,1.0,0.0,254,0,0,253,0,305.56294479999906
6,"FE, pre, value, d0",b405ff987a778fd3da38713609359bbf352e36f56fdb18abdb43ea2c89c8af35,forward_euler,pre_integration,to_value,0,16,False,0.008392234869088386,0.9916077651309116,7,0,9,23,0,7.026087700000062
6,"FE, pre, value, d0",b405ff987a778fd3da38713609359bbf352e36f56fdb18abdb43ea2c89c8af35,forward_euler,pre_integration,to_value,0,64,False,0.8221020022263529,0.17789799777364712,52,0,12,74,0,88.64959209999961
6,"FE, pre, value, d0",b405ff987a778fd3da38713609359bbf352e36f56fdb18abdb43ea2c89c8af35,forward_euler,pre_integration,to_value,0,256,True,1.0,0.0,77,0,0,75,0,119.88540920000014
7,"FE, pre, value, d1",be2c47fd653f36dd52ef81e3bb1412d92b03c26be45db023deb6cf87245d65ff,forward_euler,pre_integration,to_value,1,16,False,0.30888956628384684,0.6911104337161531,9,0,7,22,0,11.076657700000396
7,"FE, pre, value, d1",be2c47fd653f36dd52ef81e3bb1412d92b03c26be45db023deb6cf87245d65ff,forward_euler,pre_integration,to_value,1,64,True,1.0,0.0,44,0,0,43,0,59.67608180000025
7,"FE, pre, value, d1",be2c47fd653f36dd52ef81e3bb1412d92b03c26be45db023deb6cf87245d65ff,forward_euler,pre_integration,to_value,1,256,True,1.0,0.0,44,0,0,43,0,62.68890459999966
8,"EXP, post, sub, d0",ed50d0133275a0dcea83cfa79a182d87299e863842dbc97b1e85017ebd4492f3,exponential_euler,post_integration,subtractive,0,16,False,0.03005336599541319,0.9699466340045868,6,0,10,23,0,6.673672900000383
8,"EXP, post, sub, d0",ed50d0133275a0dcea83cfa79a182d87299e863842dbc97b1e85017ebd4492f3,exponential_euler,post_integration,subtractive,0,64,False,0.07911270173864102,0.920887298261359,11,0,53,114,0,40.838393399999404
8,"EXP, post, sub, d0",ed50d0133275a0dcea83cfa79a182d87299e863842dbc97b1e85017ebd4492f3,exponential_euler,post_integration,subtractive,0,256,True,1.0,0.0,190,0,0,187,0,301.40996020000057
9,"EXP, post, sub, d1",43628b98f57e5dcad68a230461a79b46d52c0fe094ed8d2217b5186331356adf,exponential_euler,post_integration,subtractive,1,16,False,0.39246234356989335,0.6075376564301067,8,0,8,21,0,10.617641899998489
9,"EXP, post, sub, d1",43628b98f57e5dcad68a230461a79b46d52c0fe094ed8d2217b5186331356adf,exponential_euler,post_integration,subtractive,1,64,False,0.8068287857363889,0.19317121426361106,42,0,22,83,0,69.32984939999915
9,"EXP, post, sub, d1",43628b98f57e5dcad68a230461a79b46d52c0fe094ed8d2217b5186331356adf,exponential_euler,post_integration,subtractive,1,256,True,1.0,0.0,121,0,0,118,0,183.28984440000022
10,"EXP, post, value, d0",c7446c2b53813fbba989999169770f1271e53ba3f02081090fa64fd4c97ec71d,exponential_euler,post_integration,to_value,0,16,False,0.13520987125292136,0.8647901287470786,10,0,6,18,0,7.660672399999385
10,"EXP, post, value, d0",c7446c2b53813fbba989999169770f1271e53ba3f02081090fa64fd4c97ec71d,exponential_euler,post_integration,to_value,0,64,True,1.0,0.0,61,0,0,57,0,103.91022359999988
10,"EXP, post, value, d0",c7446c2b53813fbba989999169770f1271e53ba3f02081090fa64fd4c97ec71d,exponential_euler,post_integration,to_value,0,256,True,1.0,0.0,61,0,0,57,0,103.30999709999924
11,"EXP, post, value, d1",2b25ae05766213663dd7cea58d31c3722f85b4a6e1df173affbf8a33c030f36e,exponential_euler,post_integration,to_value,1,16,False,0.17442550309270471,0.8255744969072953,6,0,10,24,0,10.271259500001179
