seed,audit_samples,box_hash,discrete_member_count,relative_radius,sampled_corner_agreement_fraction,sampled_corner_agreement_inputs,sampled_corner_counterexamples_to_static,sampled_corner_runs,sampled_corner_seconds,static_certified_fraction,static_certified_inputs,static_seconds,threshold_scale_bounds,timestep_bounds,validation_samples
1701,861,7ef9d7c86bc62f7d22c77f5e6727009197009b6203316c4fbeced4b0643c32b7,16,0.01,0.359375,23,0,64,0.9221097000408918,0.0,0,3.96936049987562,"[0.99, 1.01]","[0.99, 1.01]",64
1701,861,a483e2148f2317ef5b8a83d82c6719a89045af784c6a13d39ad93c373e70b01e,16,0.02,0.3125,20,0,64,0.8767291000112891,0.0,0,3.8822129000909626,"[0.98, 1.02]","[0.98, 1.02]",64
1701,861,d294dec30f5c08e95f2c0dc43bb8bccae1aa334918a735c9f58975538cf63c9c,16,0.05,0.21875,14,0,64,0.9088411999400705,0.0,0,3.875809600111097,"[0.95, 1.05]","[0.95, 1.05]",64
2718,861,7ef9d7c86bc62f7d22c77f5e6727009197009b6203316c4fbeced4b0643c32b7,16,0.01,0.34375,22,0,64,1.0036235000006855,0.0,0,3.9381822999566793,"[0.99, 1.01]","[0.99, 1.01]",64
2718,861,a483e2148f2317ef5b8a83d82c6719a89045af784c6a13d39ad93c373e70b01e,16,0.02,0.296875,19,0,64,0.8463581998366863,0.0,0,3.9742761000525206,"[0.98, 1.02]","[0.98, 1.02]",64
2718,861,d294dec30f5c08e95f2c0dc43bb8bccae1aa334918a735c9f58975538cf63c9c,16,0.05,0.25,16,0,64,0.8390239998698235,0.0,0,4.019134799949825,"[0.95, 1.05]","[0.95, 1.05]",64
3141,861,7ef9d7c86bc62f7d22c77f5e6727009197009b6203316c4fbeced4b0643c32b7,16,0.01,0.359375,23,0,64,0.8952863998711109,0.0,0,4.019498100038618,"[0.99, 1.01]","[0.99, 1.01]",64
3141,861,a483e2148f2317ef5b8a83d82c6719a89045af784c6a13d39ad93c373e70b01e,16,0.02,0.328125,21,0,64,0.8843987002037466,0.0,0,3.9099502998869866,"[0.98, 1.02]","[0.98, 1.02]",64
3141,861,d294dec30f5c08e95f2c0dc43bb8bccae1aa334918a735c9f58975538cf63c9c,16,0.05,0.21875,14,0,64,0.9113501999527216,0.0,0,3.9264899000991136,"[0.95, 1.05]","[0.95, 1.05]",64
5772,861,7ef9d7c86bc62f7d22c77f5e6727009197009b6203316c4fbeced4b0643c32b7,16,0.01,0.375,24,0,64,0.8796963999047875,0.0,0,3.8986446000635624,"[0.99, 1.01]","[0.99, 1.01]",64
5772,861,a483e2148f2317ef5b8a83d82c6719a89045af784c6a13d39ad93c373e70b01e,16,0.02,0.328125,21,0,64,0.8805442999582738,0.0,0,3.9407560999970883,"[0.98, 1.02]","[0.98, 1.02]",64
5772,861,d294dec30f5c08e95f2c0dc43bb8bccae1aa334918a735c9f58975538cf63c9c,16,0.05,0.28125,18,0,64,0.9300480000674725,0.0,0,3.9606806999072433,"[0.95, 1.05]","[0.95, 1.05]",64
8119,861,7ef9d7c86bc62f7d22c77f5e6727009197009b6203316c4fbeced4b0643c32b7,16,0.01,0.40625,26,0,64,0.9224805999547243,0.0,0,3.9070325000211596,"[0.99, 1.01]","[0.99, 1.01]",64
8119,861,a483e2148f2317ef5b8a83d82c6719a89045af784c6a13d39ad93c373e70b01e,16,0.02,0.359375,23,0,64,0.8710264000110328,0.0,0,3.9796907000709325,"[0.98, 1.02]","[0.98, 1.02]",64
8119,861,d294dec30f5c08e95f2c0dc43bb8bccae1aa334918a735c9f58975538cf63c9c,16,0.05,0.265625,17,0,64,0.8868183000013232,0.0,0,4.010570600163192,"[0.95, 1.05]","[0.95, 1.05]",64
