seed,box_hash,certified_fraction,certified_inputs,relative_radius,samples,seconds,varied_axis
1701,066c5d236806a1cc3848ff7f23746076c05ed7e67569f39d0ed96d178a5dff90,0.9465737514518002,815,1e-06,861,0.7710927000734955,timestep
1701,195e564f4786b99558f2af2c82da20e5c4cf08c3b08d6f0dac9bd45b2fd941d6,0.6469221835075494,557,1e-05,861,0.7433497000019997,timestep
1701,e6fc43d9ae1976b8b54da7d017c4d7ac2320b11275bca0290f206fe5c9a43d9e,0.0,0,0.0001,861,0.5935482999775559,timestep
1701,1395c3d502460c1000f04cdd52fc58058773030a439bfe1cd5f2c0f4dd08306d,0.0,0,0.001,861,0.5536497998982668,timestep
1701,037f0ee97feffd997e1810ffe5db64c5291b361b3fecb6935e935d9b42d4adac,0.0,0,0.01,861,0.5840368999633938,timestep
1701,678681e58f7ea54f369a865d944f02f7554b4bb18ca9c783ce173d901c6ba02b,0.9686411149825784,834,1e-06,861,0.5475725000724196,threshold
1701,8c5a448b9e140cf214c51e6524114a2656c0e8f2e17a7d6c16f785b667736e87,0.7328687572590011,631,1e-05,861,0.5605810999404639,threshold
1701,d721fbd6c19b4661cfbb643cdb179823d734e0f3701efd7b81291b9f6de315f2,0.015098722415795587,13,0.0001,861,0.5522936000488698,threshold
1701,226dc84e0cdf2fc914685ad31d7a26f5131a383b656fae608f89cddcbf9e62cb,0.0,0,0.001,861,0.5354698000010103,threshold
1701,eeee402f488867a5e705759423eeed2357d887cf5a67b77c9bf0265d256c70c9,0.0,0,0.01,861,0.5602404000237584,threshold
1701,3ed071a748880cef13f9191f8e314695b9956e428b0045cc00fbd9250ec338f9,0.9094076655052264,783,1e-06,861,0.5589318999554962,joint
1701,f687448bb660790577e3153a7007fa60de8fba14827a9df9f9d4de15f2d9690c,0.5331010452961672,459,1e-05,861,0.5482423999346793,joint
1701,e82fc029a81182fd43da6b2bbfbd6471e8db3f00164a4410125326f02074175a,0.0,0,0.0001,861,0.5511221000924706,joint
1701,b22735a0eec55caffc70f733b8ed8f5c2d5e8c39d909695f4fa256f250cd0b9e,0.0,0,0.001,861,0.5442684998270124,joint
1701,7fe1103701710ba7a1b10c9029c5d2d3d396577e2f121fc7e79a80a27f289ce0,0.0,0,0.01,861,0.5501705999486148,joint
2718,066c5d236806a1cc3848ff7f23746076c05ed7e67569f39d0ed96d178a5dff90,0.926829268292683,798,1e-06,861,0.771989299915731,timestep
2718,195e564f4786b99558f2af2c82da20e5c4cf08c3b08d6f0dac9bd45b2fd941d6,0.6178861788617886,532,1e-05,861,0.7774256002157927,timestep
2718,e6fc43d9ae1976b8b54da7d017c4d7ac2320b11275bca0290f206fe5c9a43d9e,0.0,0,0.0001,861,0.6610256000421941,timestep
2718,1395c3d502460c1000f04cdd52fc58058773030a439bfe1cd5f2c0f4dd08306d,0.0,0,0.001,861,0.5731988998595625,timestep
2718,037f0ee97feffd997e1810ffe5db64c5291b361b3fecb6935e935d9b42d4adac,0.0,0,0.01,861,0.5558423998299986,timestep
2718,678681e58f7ea54f369a865d944f02f7554b4bb18ca9c783ce173d901c6ba02b,0.9535423925667829,821,1e-06,861,0.5538108001928777,threshold
2718,8c5a448b9e140cf214c51e6524114a2656c0e8f2e17a7d6c16f785b667736e87,0.7084785133565621,610,1e-05,861,0.5967639000155032,threshold
