seed,full_family_prediction_identity_fraction,full_family_prediction_identity_inputs,grid_points_per_member,inputs,max_unique_predictions,maximum_member_prediction_identity_fraction,mean_member_prediction_identity_fraction,mean_unique_predictions,member_count,minimum_member_prediction_identity_fraction,p90_unique_predictions,resolution,sample_input_pair_disagreement_fraction,total_sampled_semantics
1701,0.3125,40,9,128,6,0.8828125,0.59619140625,2.28125,16,0.375,4.0,3,0.3339301215277778,144
1701,0.3125,40,25,128,6,0.859375,0.5869140625,2.359375,16,0.375,4.0,5,0.33421875,400
1701,0.2890625,37,81,128,6,0.84375,0.57666015625,2.40625,16,0.3671875,4.0,9,0.33479214891975306,1296
2718,0.296875,38,9,128,5,0.796875,0.57080078125,2.296875,16,0.390625,4.0,3,0.3670789930555556,144
2718,0.2890625,37,25,128,6,0.796875,0.560546875,2.328125,16,0.3828125,4.0,5,0.36779296875,400
2718,0.28125,36,81,128,6,0.796875,0.55517578125,2.3515625,16,0.375,4.0,9,0.3675250771604939,1296
3141,0.3203125,41,9,128,7,0.8359375,0.59423828125,2.1328125,16,0.40625,4.0,3,0.33865017361111116,144
3141,0.3203125,41,25,128,7,0.8125,0.58203125,2.1875,16,0.40625,4.0,5,0.338515625,400
3141,0.3203125,41,81,128,7,0.8046875,0.5771484375,2.203125,16,0.40625,4.0,9,0.3378303433641975,1296
5772,0.3125,40,9,128,6,0.890625,0.646484375,2.1015625,16,0.3984375,3.0,3,0.2787543402777778,144
5772,0.3125,40,25,128,6,0.8828125,0.63330078125,2.1953125,16,0.390625,4.0,5,0.279296875,400
5772,0.3125,40,81,128,7,0.859375,0.62646484375,2.234375,16,0.390625,4.0,9,0.27905574845679015,1296
8119,0.3515625,45,9,128,6,0.8515625,0.63134765625,2.1640625,16,0.4296875,4.0,3,0.3003472222222222,144
8119,0.3515625,45,25,128,6,0.8359375,0.6240234375,2.2109375,16,0.4296875,4.0,5,0.3008984375,400
8119,0.3515625,45,81,128,6,0.8046875,0.61376953125,2.2890625,16,0.4296875,4.0,9,0.3007269965277778,1296
