seed,center_target_identity_fraction,center_target_identity_inputs,continuous_grid_identity_cost,deployed_model_artifact_hash,deployed_model_hash,grid_family_identity_fraction,grid_family_identity_inputs,grid_pair_disagreement_fraction,labels_used,max_unique_predictions,mean_unique_predictions,method,optimization_steps,repair_report_hash,trainable_parameters
1701,0.734375,94,0.109375,9871b6e0c0daecac610eb993364ec7551501ee9711769a5a74f54ae50edc1ed6,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,0.625,80,0.2681327160493827,none,3,1.375,no_repair,0,,0
1701,0.84375,108,0.1015625,490b16ffce723175930aeb6fff93ad20663c6f2472b1855d34e8aac353edf0b7,c93c1b1422798a61b7cc035687f9f5885dc4a9334dbad959c76cbfbfbef01c52,0.7421875,95,0.13059413580246915,none,3,1.2578125,certificate_directed,280,e0972205cb35b152329b57d204520b9d5b0cc5535053aeb0803ce26671108db4,640
1701,0.859375,110,0.0859375,c909c94e6bde4d2321863d20c3d1f1811c07ea2ff1e966e2568214e67679b85f,6312db2c02e83e7b83f2e6b9485291bc256c5c8c73679e7c11c5cc294603f22d,0.7734375,99,0.12798996913580252,none,3,1.25,logit_only,280,35d9a60fd47e2f1c68a09e74cdd06d3064a6a81402def2eeafb7bf8199a55a0b,640
1701,0.8125,104,0.109375,ad4e45b63f6ccc8bd980d2d837155068f5a1337d8f65ef93d48d653188186651,e7af177f68e459dafec1cb7c5f3ffeac2e962814c669a815065ef25997a98e1a,0.703125,90,0.18634259259259256,none,3,1.3203125,global_threshold,0,0eb11b4d59118e57ac288b0c122ffa36aa45e6284d10094e97ae83fc3108e65b,1
1701,0.8046875,103,0.0703125,eb23084fd4a35f975c4ae61e31b40c37d00fdefa630e7220d783a0198311c8d9,17495e60eac7cce3dc183ffae48923600cda2997064f5804f9d4c8f7e0e131cd,0.734375,94,0.1830632716049383,repair calibration labels,4,1.234375,per_platform_qat,280,6075baf5029af6bae0f885459bd8c6ed1ce2e6e727d4feb60c70793c48d3b208,108928
2718,0.7109375,91,0.0859375,96e212e49fbaf7f15dc6547ebc71b5c646f211a8eba6a4b586cd185c0f4809c4,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,0.625,80,0.2884837962962963,none,4,1.265625,no_repair,0,,0
2718,0.8671875,111,0.1484375,3fa29c3f1f81f537084561b264d245bbdae6a25025f45fd92d318b52bca6c7a1,23fb94f2485779ef20aa01333a182b9078e0c82baefbef1da0a3c79ca355cbb6,0.71875,92,0.130883487654321,none,3,1.2578125,certificate_directed,280,d17daccf33518825310b30be8fd087a5b496d849641574f68aa15a0dc8244795,640
2718,0.8203125,105,0.09375,b0997828d95da3484d8ddfe515c98d7848ad49f7fe9857549f86841747d72ba5,6c30b9a59a7380e3d42bcb4b7d49193efcc4885ccccfc86c52c2f0da9f027b87,0.7265625,93,0.1767939814814815,none,3,1.2890625,logit_only,280,69a47ee6c27425b0e2fce265a80517801167dcc6d6d75c0972e44574240e0762,640
2718,0.8203125,105,0.1953125,61976001ae3a138bd9d881c27617c041a594210c182df4e30808315bd5c79ce3,ddbb2c82415d16beb4af354a51253953aa460631457350a3f170265e42cd3598,0.625,80,0.19743441358024694,none,3,1.3671875,global_threshold,0,ee57c693b184b8244fbf9f08e67515c4de4de451842782a4c063b71759c94a95,1
2718,0.78125,100,0.1171875,5c63a5ad130243f264bf6682776121d30c63d8b10e5a85cfdcb3300b836b27ce,49907dec6d555846fc59e18fb6b52c60c550739d502620821c964d1b026405df,0.6640625,85,0.22627314814814814,repair calibration labels,3,1.25,per_platform_qat,280,264934d8749cb8aabde05f887bb8fd24d0c7c15bdf918be4716e594e50804fa3,108928
