condition,seed,method,before_accuracy_loss,before_absolute_accuracy_change,before_certificate_upper_bound,after_accuracy_loss,after_absolute_accuracy_change,accuracy_recovery_fraction,after_audit_disagreement_rate,after_certificate_upper_bound,after_bound_slack,bound_not_violated,calibration_samples,audit_samples,label_budget,optimization_steps,trainable_parameters,elapsed_seconds,quantization_active,source_model_hash,repaired_model_hash,report_code_revision
reset_to_value,1701,certificate_directed,0.11484098939929321,0.11484098939929321,0.27277810772477984,0.01810954063604242,0.01810954063604242,0.8423076923076921,0.14169570267131243,0.1627367077669452,0.1446271671309028,True,800,861,0,280,640,35.82250069999998,False,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,3b4e0a670ed51842c97e7eb59cbbf34bd88e92bd49fefec4792a78d22e3e2e2b,uncommitted
reset_to_value,1701,logit_only,0.11484098939929321,0.11484098939929321,0.27277810772477984,0.039752650176678395,0.039752650176678395,0.6538461538461541,0.1254355400696864,0.14554067307173402,0.10578802289505562,True,800,861,0,280,640,31.174956000000066,False,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,5c3362d92a3168f0a0ada5aa88c89a4f7fd39ad5718f185757348ba76b484170,uncommitted
reset_to_value,1701,global_threshold,0.11484098939929321,0.11484098939929321,0.27277810772477984,0.0689045936395759,0.0689045936395759,0.4000000000000002,0.1602787456445993,0.18228364103616768,0.11337904739659177,True,800,861,0,0,1,6.958344200000056,False,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,e7af177f68e459dafec1cb7c5f3ffeac2e962814c669a815065ef25997a98e1a,uncommitted
reset_to_value,1701,per_platform_qat,0.11484098939929321,0.11484098939929321,0.27277810772477984,0.03577738515901063,0.03577738515901063,0.688461538461538,0.13588850174216027,0.15660589856106244,0.12082851340205181,True,800,861,800,280,108928,28.89467979999995,False,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,17495e60eac7cce3dc183ffae48923600cda2997064f5804f9d4c8f7e0e131cd,uncommitted
reset_to_value,1701,supervised_target_retraining,0.11484098939929321,0.11484098939929321,0.27277810772477984,0.2274734982332155,0.2274734982332155,-0.9807692307692316,0.4645760743321719,0.49317327598483096,0.26569977775161546,True,800,861,800,280,108928,29.61272329999997,False,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,2307297c953dbb6089d2f2f4db1105eef721f2d195b26c59a8cabbb368c249bd,uncommitted
reset_to_value,2718,certificate_directed,0.1020318021201414,0.1020318021201414,0.29069934835652966,0.009275618374558259,0.009275618374558259,0.9090909090909096,0.11846689895470383,0.13814092823032942,0.12886530985577116,True,800,861,0,280,640,32.64563720000001,False,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,6b3b475f5fa957f3ea126a4f2b02a541966b855c79fb7c73ba0b93296c8da46f,uncommitted
reset_to_value,2718,logit_only,0.1020318021201414,0.1020318021201414,0.29069934835652966,0.012367491166077715,0.012367491166077715,0.8787878787878791,0.12427409988385599,0.14430870619786218,0.13194121503178446,True,800,861,0,280,640,31.79745170000001,False,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,9d15bbc2831e1d2fcd7b03a571911efef43a92ca704727756b74c12a48479490,uncommitted
reset_to_value,2718,global_threshold,0.1020318021201414,0.1020318021201414,0.29069934835652966,0.048586572438162556,0.048586572438162556,0.523809523809524,0.15098722415795587,0.1725232534869851,0.12393668104882255,True,800,861,0,0,1,6.878701200000023,False,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,ddbb2c82415d16beb4af354a51253953aa460631457350a3f170265e42cd3598,uncommitted
reset_to_value,2718,per_platform_qat,0.1020318021201414,0.1020318021201414,0.29069934835652966,0.009275618374558259,0.009275618374558259,0.9090909090909096,0.17073170731707318,0.19323508331916667,0.1839594649446084,True,800,861,800,280,108928,28.434607700000015,False,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,49907dec6d555846fc59e18fb6b52c60c550739d502620821c964d1b026405df,uncommitted
reset_to_value,2718,supervised_target_retraining,0.1020318021201414,0.1020318021201414,0.29069934835652966,0.20097173144876324,0.20097173144876324,-0.9696969696969684,0.4355400696864111,0.4640480615579542,0.26307633010919096,True,800,861,800,280,108928,29.507954700000028,False,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,b79bc8ba1388a74c909973fb5a095598083c1d5321543cf6b6163484471d22e6,uncommitted
reset_to_value,3141,certificate_directed,0.12323321554770317,0.12323321554770317,0.28592530288748186,0.023851590106007015,0.023851590106007015,0.8064516129032262,0.1254355400696864,0.14554067307173402,0.121689082965727,True,800,861,0,280,640,30.575372499999958,False,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,23c924a17b003c474ca42812fc9167cda63861b81b5b6d765b0b965a18df99fa,uncommitted
reset_to_value,3141,logit_only,0.12323321554770317,0.12323321554770317,0.28592530288748186,0.016784452296819685,0.016784452296819685,0.8637992831541227,0.10569105691056911,0.12452171413959565,0.10773726184277596,True,800,861,0,280,640,29.218697099999872,False,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,5047056d6e8ac0984c918a85eda99274624503a3372928afd1413a1ddf8eb8ac,uncommitted
reset_to_value,3141,global_threshold,0.12323321554770317,0.12323321554770317,0.28592530288748186,0.06360424028268541,0.06360424028268541,0.4838709677419363,0.16492450638792103,0.18715460877110945,0.12355036848842404,True,800,861,0,0,1,6.551519300000109,False,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,b8a7743dbfc5361b05a834734fcecbca4974221e0b68eed89e008741561301e5,uncommitted
reset_to_value,3141,per_platform_qat,0.12323321554770317,0.12323321554770317,0.28592530288748186,0.04328621908127206,0.04328621908127206,0.6487455197132618,0.15447154471544716,0.17618635977514235,0.1329001406938703,True,800,861,800,280,108928,28.32002260000013,False,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,e6909aa88caff5d22c0aef06a8a0bf274708393a8728db4bba97f7adaa2f33e1,uncommitted
reset_to_value,3141,supervised_target_retraining,0.12323321554770317,0.12323321554770317,0.28592530288748186,0.2813604240282685,0.2813604240282685,-1.2831541218637992,0.44831591173054586,0.476874952812684,0.1955145287844155,True,800,861,800,280,108928,27.986722599999894,False,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,0031e6aa1560f0b68b97ecfefe927459bbe8e44ebdc42ccc6950bd46d3c41754,uncommitted
reset_to_value,5772,certificate_directed,0.0962897526501767,0.0962897526501767,0.24639712248569162,0.017667844522968212,0.017667844522968212,0.8165137614678898,0.11382113821138211,0.13319677065951985,0.11552892613655164,True,800,861,0,280,640,31.50372349999998,False,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,294ba6d468d5a0fc1f52402567fbe357fb8648fa55b32df06aaae055ba5dce3d,uncommitted
reset_to_value,5772,logit_only,0.0962897526501767,0.0962897526501767,0.24639712248569162,0.03842756183745577,0.03842756183745577,0.6009174311926613,0.10801393728222997,0.12700338218374657,0.0885758203462908,True,800,861,0,280,640,30.181398299999955,False,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,fd5f858b2226c1ef4006d8d75196a37eb30040e17672a1b94d92c52c79fad378,uncommitted
reset_to_value,5772,global_threshold,0.0962897526501767,0.0962897526501767,0.24639712248569162,0.060070671378091856,0.060070671378091856,0.376146788990826,0.1521486643437863,0.17374469219629324,0.11367402081820138,True,800,861,0,0,1,7.3681779000000915,False,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,293e91f876e3d8d2cb537b137dc25a0e40e56dcdd98dd886287b0a89f4a3fee1,uncommitted
reset_to_value,5772,per_platform_qat,0.0962897526501767,0.0962897526501767,0.24639712248569162,0.007508833922261426,0.007508833922261426,0.9220183486238538,0.17886178861788618,0.20173303065831322,0.1942241967360518,True,800,861,800,280,108928,27.80805720000012,False,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,6e646fb1e77cc58b4a6f6443896895f34501c05415113ab181511c4fe516e471,uncommitted
reset_to_value,5772,supervised_target_retraining,0.0962897526501767,0.0962897526501767,0.24639712248569162,0.2102473498233215,0.2102473498233215,-1.183486238532109,0.47735191637630664,0.5059581874003176,0.2957108375769961,True,800,861,800,280,108928,28.17897589999984,False,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,b7b2b68cadc09793e5563a08af05e410a897cc926e428a19e9093e3764f40b55,uncommitted
reset_to_value,8119,certificate_directed,0.05742049469964661,0.05742049469964661,0.2198889249704446,0.044169611307420475,0.044169611307420475,0.23076923076923062,0.13937282229965156,0.16028574135735307,0.1161161300499326,True,800,861,0,280,640,31.760324299999866,False,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,4002b431622e774ecf24a3802ede387367933d69b062e9c3f6b7a951b134b551,uncommitted
reset_to_value,8119,logit_only,0.05742049469964661,0.05742049469964661,0.2198889249704446,0.014575971731448756,0.014575971731448756,0.7461538461538462,0.09639953542392567,0.11456855460650783,0.09999258287505908,True,800,861,0,280,640,28.714422000000013,False,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,a8cb4d7e12729bb7362baadbbc6e16e0ec454f4f548e1453c1557d83eb29addc,uncommitted
reset_to_value,8119,global_threshold,0.05742049469964661,0.05742049469964661,0.2198889249704446,0.044611307420494684,0.044611307420494684,0.22307692307692287,0.13472706155632985,0.15537836020144624,0.11076705278095156,True,800,861,0,0,1,6.484709700000167,False,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,ff04447b41686363f0bf116d70c05b25b92aa87121a24e500915bb8f8204e727,uncommitted
