condition,seed,method,before_accuracy_loss,before_absolute_accuracy_change,before_certificate_upper_bound,after_accuracy_loss,after_absolute_accuracy_change,accuracy_recovery_fraction,after_audit_disagreement_rate,after_certificate_upper_bound,after_bound_slack,bound_not_violated,calibration_samples,audit_samples,label_budget,optimization_steps,trainable_parameters,elapsed_seconds,quantization_active,source_model_hash,repaired_model_hash,report_code_revision
reset_to_value,1701,certificate_directed,0.11484098939929321,0.11484098939929321,0.27277810772477984,0.018992932862190837,0.018992932862190837,0.8346153846153843,0.14982578397212543,0.17130140644133607,0.15230847357914523,True,800,861,0,280,640,28.71603889996186,False,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,c93c1b1422798a61b7cc035687f9f5885dc4a9334dbad959c76cbfbfbef01c52,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
reset_to_value,1701,logit_only,0.11484098939929321,0.11484098939929321,0.27277810772477984,0.03445229681978801,0.03445229681978801,0.6999999999999996,0.11149825783972125,0.13072122134856484,0.09626892452877683,True,800,861,0,280,640,28.46927580004558,False,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,6312db2c02e83e7b83f2e6b9485291bc256c5c8c73679e7c11c5cc294603f22d,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
reset_to_value,1701,global_threshold,0.11484098939929321,0.11484098939929321,0.27277810772477984,0.0689045936395759,0.0689045936395759,0.4000000000000002,0.1602787456445993,0.18228364103616768,0.11337904739659177,True,800,861,0,0,1,4.204456399893388,False,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,e7af177f68e459dafec1cb7c5f3ffeac2e962814c669a815065ef25997a98e1a,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
reset_to_value,1701,per_platform_qat,0.11484098939929321,0.11484098939929321,0.27277810772477984,0.03577738515901063,0.03577738515901063,0.688461538461538,0.13588850174216027,0.15660589856106244,0.12082851340205181,True,800,861,800,280,108928,30.171800500014797,False,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,17495e60eac7cce3dc183ffae48923600cda2997064f5804f9d4c8f7e0e131cd,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
reset_to_value,1701,supervised_target_retraining,0.11484098939929321,0.11484098939929321,0.27277810772477984,0.2274734982332155,0.2274734982332155,-0.9807692307692316,0.4645760743321719,0.49317327598483096,0.26569977775161546,True,800,861,800,280,108928,25.752947400091216,False,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,2307297c953dbb6089d2f2f4db1105eef721f2d195b26c59a8cabbb368c249bd,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
reset_to_value,2718,certificate_directed,0.1020318021201414,0.1020318021201414,0.29069934835652966,0.02959363957597172,0.02959363957597172,0.7099567099567102,0.1254355400696864,0.14554067307173402,0.1159470334957623,True,800,861,0,280,640,29.07183269993402,False,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,23fb94f2485779ef20aa01333a182b9078e0c82baefbef1da0a3c79ca355cbb6,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
reset_to_value,2718,logit_only,0.1020318021201414,0.1020318021201414,0.29069934835652966,0.02694346289752647,0.02694346289752647,0.7359307359307364,0.1254355400696864,0.14554067307173402,0.11859721017420755,True,800,861,0,280,640,29.000033600023016,False,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,6c30b9a59a7380e3d42bcb4b7d49193efcc4885ccccfc86c52c2f0da9f027b87,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
reset_to_value,2718,global_threshold,0.1020318021201414,0.1020318021201414,0.29069934835652966,0.048586572438162556,0.048586572438162556,0.523809523809524,0.15098722415795587,0.1725232534869851,0.12393668104882255,True,800,861,0,0,1,4.547480299836025,False,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,ddbb2c82415d16beb4af354a51253953aa460631457350a3f170265e42cd3598,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
reset_to_value,2718,per_platform_qat,0.1020318021201414,0.1020318021201414,0.29069934835652966,0.009275618374558259,0.009275618374558259,0.9090909090909096,0.17073170731707318,0.19323508331916667,0.1839594649446084,True,800,861,800,280,108928,27.460083999903873,False,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,49907dec6d555846fc59e18fb6b52c60c550739d502620821c964d1b026405df,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
reset_to_value,2718,supervised_target_retraining,0.1020318021201414,0.1020318021201414,0.29069934835652966,0.20097173144876324,0.20097173144876324,-0.9696969696969684,0.4355400696864111,0.4640480615579542,0.26307633010919096,True,800,861,800,280,108928,26.023771200096235,False,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,b79bc8ba1388a74c909973fb5a095598083c1d5321543cf6b6163484471d22e6,a3ba612a80f58f415fe9ffcf7f460a21fa4daece
