seed,method,condition,before_accuracy_loss,after_accuracy_loss,accuracy_recovery_fraction,before_audit_disagreement_rate,after_audit_disagreement_rate,post_repair_upper_bound,calibration_samples,audit_samples,label_budget,elapsed_seconds,source_model_hash,repaired_model_hash,report_code_revision
1701,certificate_directed,reset_to_value,0.11484098939929321,0.018992932862190837,0.8346153846153843,0.24738675958188153,0.14982578397212543,0.17130140644133607,800,861,0,26.28728129994124,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,c93c1b1422798a61b7cc035687f9f5885dc4a9334dbad959c76cbfbfbef01c52,f62950bc821e3b4be02d0dece01d5e5688b2dd5b
1701,logit_only,reset_to_value,0.11484098939929321,0.03445229681978801,0.6999999999999996,0.24738675958188153,0.11149825783972125,0.13072122134856484,800,861,0,27.559470700100064,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,6312db2c02e83e7b83f2e6b9485291bc256c5c8c73679e7c11c5cc294603f22d,f62950bc821e3b4be02d0dece01d5e5688b2dd5b
1701,global_threshold,reset_to_value,0.11484098939929321,0.0689045936395759,0.4000000000000002,0.24738675958188153,0.1602787456445993,0.18228364103616768,800,861,0,3.889796699862927,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,e7af177f68e459dafec1cb7c5f3ffeac2e962814c669a815065ef25997a98e1a,f62950bc821e3b4be02d0dece01d5e5688b2dd5b
2718,certificate_directed,reset_to_value,0.1020318021201414,0.02959363957597172,0.7099567099567102,0.26480836236933797,0.1254355400696864,0.14554067307173402,800,861,0,25.90296360012144,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,23fb94f2485779ef20aa01333a182b9078e0c82baefbef1da0a3c79ca355cbb6,f62950bc821e3b4be02d0dece01d5e5688b2dd5b
2718,logit_only,reset_to_value,0.1020318021201414,0.02694346289752647,0.7359307359307364,0.26480836236933797,0.1254355400696864,0.14554067307173402,800,861,0,24.974260000046343,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,6c30b9a59a7380e3d42bcb4b7d49193efcc4885ccccfc86c52c2f0da9f027b87,f62950bc821e3b4be02d0dece01d5e5688b2dd5b
2718,global_threshold,reset_to_value,0.1020318021201414,0.048586572438162556,0.523809523809524,0.26480836236933797,0.15098722415795587,0.1725232534869851,800,861,0,3.8082840000279248,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,ddbb2c82415d16beb4af354a51253953aa460631457350a3f170265e42cd3598,f62950bc821e3b4be02d0dece01d5e5688b2dd5b
3141,certificate_directed,reset_to_value,0.12323321554770317,0.027826855123674887,0.774193548387097,0.2601626016260163,0.14982578397212543,0.17130140644133607,800,861,0,25.207469300134107,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,2ccdcca9092a422d3be56fe42f2857f0cd219626f0090925880b9417c24294d8,f62950bc821e3b4be02d0dece01d5e5688b2dd5b
3141,logit_only,reset_to_value,0.12323321554770317,0.02517667844522964,0.7956989247311831,0.2601626016260163,0.11382113821138211,0.13319677065951985,800,861,0,24.8262677998282,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,851b5516991e58a950145fb16c1ff1b57d6d281917ae81f6bff523f81997cfbd,f62950bc821e3b4be02d0dece01d5e5688b2dd5b
3141,global_threshold,reset_to_value,0.12323321554770317,0.06360424028268541,0.4838709677419363,0.2601626016260163,0.16492450638792103,0.18715460877110945,800,861,0,3.7877364000305533,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,b8a7743dbfc5361b05a834734fcecbca4974221e0b68eed89e008741561301e5,f62950bc821e3b4be02d0dece01d5e5688b2dd5b
5772,certificate_directed,reset_to_value,0.0962897526501767,0.021201413427561766,0.7798165137614687,0.2218350754936121,0.11962833914053426,0.1393755646862433,800,861,0,25.40741360001266,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,3121ddbc75801063f2c9808dd8e05576607f09119d9a605444b22d2ea08a09fe,f62950bc821e3b4be02d0dece01d5e5688b2dd5b
5772,logit_only,reset_to_value,0.0962897526501767,0.02738515901060068,0.7155963302752297,0.2218350754936121,0.11846689895470383,0.13814092823032942,800,861,0,24.997485999949276,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,2c4de7c92ad77cd9219c63f65d5f416d4f8d00cbdfac8f1c31b15717a53a816a,f62950bc821e3b4be02d0dece01d5e5688b2dd5b
5772,global_threshold,reset_to_value,0.0962897526501767,0.060070671378091856,0.376146788990826,0.2218350754936121,0.1521486643437863,0.17374469219629324,800,861,0,4.0047126999124885,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,293e91f876e3d8d2cb537b137dc25a0e40e56dcdd98dd886287b0a89f4a3fee1,f62950bc821e3b4be02d0dece01d5e5688b2dd5b
8119,certificate_directed,reset_to_value,0.05742049469964661,0.01369257950530034,0.7615384615384616,0.19628339140534262,0.10685249709639953,0.12576286487179594,800,861,0,28.280920899938792,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,6b74947db194ddb56833e601a98bf3d78e1c7ccdc6b539295c8824740239a448,f62950bc821e3b4be02d0dece01d5e5688b2dd5b
8119,logit_only,reset_to_value,0.05742049469964661,0.01369257950530034,0.7615384615384616,0.19628339140534262,0.09523809523809523,0.11332126014115312,800,861,0,26.873863500077277,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,b55a712352e722b3578aca145cd29df77928901a176cef436cb10591f93abd84,f62950bc821e3b4be02d0dece01d5e5688b2dd5b
8119,global_threshold,reset_to_value,0.05742049469964661,0.044611307420494684,0.22307692307692287,0.19628339140534262,0.13472706155632985,0.15537836020144624,800,861,0,3.913098999997601,99c6dfe8330ada8fab8d0dbfefaf8a4e25703b2e390cb011b53a0e755198857d,ff04447b41686363f0bf116d70c05b25b92aa87121a24e500915bb8f8204e727,f62950bc821e3b4be02d0dece01d5e5688b2dd5b
