condition,seed,method,before_accuracy_loss,before_absolute_accuracy_change,before_certificate_upper_bound,after_accuracy_loss,after_absolute_accuracy_change,accuracy_recovery_fraction,after_audit_disagreement_rate,after_certificate_upper_bound,after_bound_slack,bound_not_violated,calibration_samples,audit_samples,label_budget,optimization_steps,trainable_parameters,elapsed_seconds,quantization_active,report_code_revision
reset_to_value,1701,certificate_directed,0.11484098939929321,0.11484098939929321,0.27277810772477984,0.03224381625441697,0.03224381625441697,0.719230769230769,0.1254355400696864,0.14554067307173402,0.11329685681731705,True,800,861,0,280,640,32.73288969999703,False,review-revision-016
reset_to_value,1701,logit_only,0.11484098939929321,0.11484098939929321,0.27277810772477984,0.03621908127208473,0.03621908127208473,0.6846153846153851,0.12659698025551683,0.14677212505333315,0.11055304378124842,True,800,861,0,280,640,30.54428440000629,False,review-revision-016
reset_to_value,1701,global_threshold,0.11484098939929321,0.11484098939929321,0.27277810772477984,0.0689045936395759,0.0689045936395759,0.4000000000000002,0.1602787456445993,0.18228364103616768,0.11337904739659177,True,800,861,0,0,1,5.390371500005131,False,review-revision-016
reset_to_value,1701,per_platform_qat,0.11484098939929321,0.11484098939929321,0.27277810772477984,0.028268551236749095,0.028268551236749095,0.7538461538461538,0.140534262485482,0.16151144764885117,0.13324289641210207,True,800,861,800,280,108928,31.356302300002426,False,review-revision-016
reset_to_value,1701,supervised_target_retraining,0.11484098939929321,0.11484098939929321,0.27277810772477984,0.22438162544169604,0.22438162544169604,-0.9538461538461545,0.4657375145180023,0.49433629928045975,0.2699546738387637,True,800,861,800,280,108928,31.162853999994695,False,review-revision-016
reset_to_value,2718,certificate_directed,0.1020318021201414,0.1020318021201414,0.29069934835652966,0.02296819787985871,0.02296819787985871,0.7748917748917745,0.11033681765389082,0.12948255187519692,0.1065143539953382,True,800,861,0,280,640,35.16445250000106,False,review-revision-016
reset_to_value,2718,logit_only,0.1020318021201414,0.1020318021201414,0.29069934835652966,0.030918727915194344,0.030918727915194344,0.6969696969696971,0.11962833914053426,0.1393755646862433,0.10845683677104895,True,800,861,0,280,640,30.464288000002853,False,review-revision-016
reset_to_value,2718,global_threshold,0.1020318021201414,0.1020318021201414,0.29069934835652966,0.048586572438162556,0.048586572438162556,0.523809523809524,0.15098722415795587,0.1725232534869851,0.12393668104882255,True,800,861,0,0,1,5.890537800005404,False,review-revision-016
reset_to_value,2718,per_platform_qat,0.1020318021201414,0.1020318021201414,0.29069934835652966,0.0026501766784452485,0.0026501766784452485,0.9740259740259739,0.1800232288037166,0.20294566868055708,0.20029549200211183,True,800,861,800,280,108928,32.605679799991776,False,review-revision-016
reset_to_value,2718,supervised_target_retraining,0.1020318021201414,0.1020318021201414,0.29069934835652966,0.22570671378091872,0.22570671378091872,-1.2121212121212108,0.4657375145180023,0.49433629928045975,0.268629585499541,True,800,861,800,280,108928,28.92209599999478,False,review-revision-016
reset_to_value,3141,certificate_directed,0.12323321554770317,0.12323321554770317,0.28592530288748186,0.013250883392226132,0.013250883392226132,0.89247311827957,0.10685249709639953,0.12576286487179594,0.11251198147956981,True,800,861,0,280,640,33.08080670000345,False,review-revision-016
reset_to_value,3141,logit_only,0.12323321554770317,0.12323321554770317,0.28592530288748186,0.025618374558303847,0.025618374558303847,0.792114695340502,0.11265969802555169,0.1319592916057582,0.10634091704745435,True,800,861,0,280,640,30.033782500002417,False,review-revision-016
reset_to_value,3141,global_threshold,0.12323321554770317,0.12323321554770317,0.28592530288748186,0.06360424028268541,0.06360424028268541,0.4838709677419363,0.16492450638792103,0.18715460877110945,0.12355036848842404,True,800,861,0,0,1,5.422355099988636,False,review-revision-016
reset_to_value,3141,per_platform_qat,0.12323321554770317,0.12323321554770317,0.28592530288748186,0.03842756183745577,0.03842756183745577,0.6881720430107532,0.16144018583042974,0.18350194445303747,0.1450743826155817,True,800,861,800,280,108928,28.690486999999848,False,review-revision-016
reset_to_value,3141,supervised_target_retraining,0.12323321554770317,0.12323321554770317,0.28592530288748186,0.2725265017667844,0.2725265017667844,-1.2114695340501789,0.4332171893147503,0.4617138941446296,0.1891873923778452,True,800,861,800,280,108928,28.71428420000302,False,review-revision-016
reset_to_value,5772,certificate_directed,0.0962897526501767,0.0962897526501767,0.24639712248569162,0.021201413427561766,0.021201413427561766,0.7798165137614687,0.10104529616724739,0.1195505906046121,0.09834917717705033,True,800,861,0,280,640,31.192530299987993,False,review-revision-016
reset_to_value,5772,logit_only,0.0962897526501767,0.0962897526501767,0.24639712248569162,0.027826855123674887,0.027826855123674887,0.7110091743119269,0.10685249709639953,0.12576286487179594,0.09793600974812106,True,800,861,0,280,640,33.60850799999025,False,review-revision-016
reset_to_value,5772,global_threshold,0.0962897526501767,0.0962897526501767,0.24639712248569162,0.060070671378091856,0.060070671378091856,0.376146788990826,0.1521486643437863,0.17374469219629324,0.11367402081820138,True,800,861,0,0,1,5.421979300008388,False,review-revision-016
reset_to_value,5772,per_platform_qat,0.0962897526501767,0.0962897526501767,0.24639712248569162,0.007508833922261426,0.007508833922261426,0.9220183486238538,0.2032520325203252,0.22713199532569295,0.21962316140343152,True,800,861,800,280,108928,30.499106399991433,False,review-revision-016
reset_to_value,5772,supervised_target_retraining,0.0962897526501767,0.0962897526501767,0.24639712248569162,0.1992049469964664,0.1992049469964664,-1.0688073394495405,0.47851335656213706,0.507119543027378,0.30791459603091165,True,800,861,800,280,108928,30.71645420001005,False,review-revision-016
reset_to_value,8119,certificate_directed,0.05742049469964661,0.05742049469964661,0.2198889249704446,0.007950530035335635,0.007950530035335635,0.8615384615384624,0.09639953542392567,0.11456855460650783,0.1066180245711722,True,800,861,0,280,640,31.070381099998485,False,review-revision-016
reset_to_value,8119,logit_only,0.05742049469964661,0.05742049469964661,0.2198889249704446,0.020759717314487558,0.020759717314487558,0.6384615384615395,0.11382113821138211,0.13319677065951985,0.11243705334503229,True,800,861,0,280,640,30.967846800005645,False,review-revision-016
reset_to_value,8119,global_threshold,0.05742049469964661,0.05742049469964661,0.2198889249704446,0.044611307420494684,0.044611307420494684,0.22307692307692287,0.13472706155632985,0.15537836020144624,0.11076705278095156,True,800,861,0,0,1,5.414501799998106,False,review-revision-016
reset_to_value,8119,per_platform_qat,0.05742049469964661,0.05742049469964661,0.2198889249704446,0.019434628975264934,0.019434628975264934,0.6615384615384627,0.16260162601626016,0.18471987140425133,0.1652852424289864,True,800,861,800,280,108928,28.9943052999879,False,review-revision-016
reset_to_value,8119,supervised_target_retraining,0.05742049469964661,0.05742049469964661,0.2198889249704446,0.1868374558303887,0.1868374558303887,-2.2538461538461556,0.4425087108013937,0.4710468563977629,0.2842094005673742,True,800,861,800,280,108928,29.097758200005046,False,review-revision-016
floor_rounding_saturation,1701,certificate_directed,0.5693462897526501,0.5693462897526501,0.8610803210664286,0.03621908127208473,0.03621908127208473,0.9363847944142748,0.13472706155632985,0.15537836020144624,0.11915927892936151,True,800,861,0,280,640,31.387212000001455,True,review-revision-016
floor_rounding_saturation,1701,logit_only,0.5693462897526501,0.5693462897526501,0.8610803210664286,0.04107773851590102,0.04107773851590102,0.9278510473235067,0.15331010452961671,0.1749657263794076,0.13388798786350659,True,800,861,0,280,640,31.843810500009567,True,review-revision-016
floor_rounding_saturation,1701,global_threshold,0.5693462897526501,0.5693462897526501,0.8610803210664286,0.4575971731448763,0.4575971731448763,0.1962761830876648,0.6933797909407665,0.7192882263916389,0.2616910532467626,True,800,861,0,0,1,5.654261200004839,True,review-revision-016
floor_rounding_saturation,1701,per_platform_qat,0.5693462897526501,0.5693462897526501,0.8610803210664286,0.021643109540635974,0.021643109540635974,0.9619860356865788,0.14285714285714285,0.16396152625764,0.14231841671700401,True,800,861,800,280,108928,29.07722959999228,True,review-revision-016
floor_rounding_saturation,1701,supervised_target_retraining,0.5693462897526501,0.5693462897526501,0.8610803210664286,0.24911660777385158,0.24911660777385158,0.5624515128006206,0.445993031358885,0.47454417488724876,0.22542756711339718,True,800,861,800,280,108928,29.249950999990688,True,review-revision-016
floor_rounding_saturation,2718,certificate_directed,0.5145759717314488,0.5145759717314488,0.7845515901320919,0.05477031802120147,0.05477031802120147,0.8935622317596565,0.13008130081300814,0.15046345105515446,0.09569313303395299,True,800,861,0,280,640,31.626660100009758,True,review-revision-016
floor_rounding_saturation,2718,logit_only,0.5145759717314488,0.5145759717314488,0.7845515901320919,0.05609540636042398,0.05609540636042398,0.8909871244635194,0.14750290360046459,0.16885647173241264,0.11276106537198866,True,800,861,0,280,640,32.04905919999874,True,review-revision-016
floor_rounding_saturation,2718,global_threshold,0.5145759717314488,0.5145759717314488,0.7845515901320919,0.4646643109540636,0.4646643109540636,0.09699570815450648,0.7038327526132404,0.7294613790510152,0.2647970680969516,True,800,861,0,0,1,5.7858511000085855,True,review-revision-016
floor_rounding_saturation,2718,per_platform_qat,0.5145759717314488,0.5145759717314488,0.7845515901320919,-0.03798586572438167,0.03798586572438167,1.0738197424892706,0.1521486643437863,0.17374469219629324,0.13575882647191156,True,800,861,800,280,108928,31.306825399995432,True,review-revision-016
floor_rounding_saturation,2718,supervised_target_retraining,0.5145759717314488,0.5145759717314488,0.7845515901320919,0.213339222614841,0.213339222614841,0.5854077253218883,0.47038327526132406,0.4989868739518831,0.2856476513370421,True,800,861,800,280,108928,31.032541699998546,True,review-revision-016
floor_rounding_saturation,3141,certificate_directed,0.5371024734982331,0.5371024734982331,0.7800746573718349,0.05521201413427557,0.05521201413427557,0.8972039473684211,0.15098722415795587,0.1725232534869851,0.11731123935270954,True,800,861,0,280,640,31.38860659999773,True,review-revision-016
floor_rounding_saturation,3141,logit_only,0.5371024734982331,0.5371024734982331,0.7800746573718349,0.053445229681978734,0.053445229681978734,0.9004934210526316,0.148664343786295,0.17007914717599415,0.11663391749401542,True,800,861,0,280,640,36.357675699997344,True,review-revision-016
floor_rounding_saturation,3141,global_threshold,0.5371024734982331,0.5371024734982331,0.7800746573718349,0.5172261484098939,0.5172261484098939,0.03700657894736848,0.759581881533101,0.7834327189252128,0.26620657051531893,True,800,861,0,0,1,5.719851499990909,True,review-revision-016
floor_rounding_saturation,3141,per_platform_qat,0.5371024734982331,0.5371024734982331,0.7800746573718349,-0.006183745583038913,0.006183745583038913,1.011513157894737,0.12775842044134728,0.14800306815034858,0.14181932256730967,True,800,861,800,280,108928,29.59805359999882,True,review-revision-016
floor_rounding_saturation,3141,supervised_target_retraining,0.5371024734982331,0.5371024734982331,0.7800746573718349,0.25839222614840984,0.25839222614840984,0.5189144736842105,0.42044134727061555,0.4488648622500251,0.19047263610161524,True,800,861,800,280,108928,29.21104870000272,True,review-revision-016
floor_rounding_saturation,5772,certificate_directed,0.5516784452296819,0.5516784452296819,0.8577849948790499,0.046819787985865724,0.046819787985865724,0.9151321056845476,0.16144018583042974,0.18350194445303747,0.13668215646717174,True,800,861,0,280,640,31.482011400003103,True,review-revision-016
floor_rounding_saturation,5772,logit_only,0.5516784452296819,0.5516784452296819,0.8577849948790499,0.05830388692579502,0.05830388692579502,0.8943154523618896,0.1718931475029036,0.1944501102052248,0.13614622327942977,True,800,861,0,280,640,30.814940300013404,True,review-revision-016
floor_rounding_saturation,5772,global_threshold,0.5516784452296819,0.5516784452296819,0.8577849948790499,0.5070671378091872,0.5070671378091872,0.0808646917534027,0.794425087108014,0.8168875606221793,0.30982042281299205,True,800,861,0,0,1,5.8492792999895755,True,review-revision-016
floor_rounding_saturation,5772,per_platform_qat,0.5516784452296819,0.5516784452296819,0.8577849948790499,-0.017226148409894004,0.017226148409894004,1.0312249799839872,0.14982578397212543,0.17130140644133607,0.15407525803144206,True,800,861,800,280,108928,29.10140990000218,True,review-revision-016
floor_rounding_saturation,5772,supervised_target_retraining,0.5516784452296819,0.5516784452296819,0.8577849948790499,0.2270318021201413,0.2270318021201413,0.5884707766212971,0.4564459930313589,0.48502785271394966,0.25799605059380837,True,800,861,800,280,108928,29.099742399994284,True,review-revision-016
floor_rounding_saturation,8119,certificate_directed,0.5083922261484098,0.5083922261484098,0.8279840269624295,0.04726148409893993,0.04726148409893993,0.9070373588184187,0.15795586527293845,0.17984589159473913,0.1325844074957992,True,800,861,0,280,640,33.54903249999916,True,review-revision-016
floor_rounding_saturation,8119,logit_only,0.5083922261484098,0.5083922261484098,0.8279840269624295,0.06581272084805645,0.06581272084805645,0.8705473501303216,0.15563298490127758,0.17740659605285314,0.11159387520479669,True,800,861,0,280,640,32.08266250000452,True,review-revision-016
floor_rounding_saturation,8119,global_threshold,0.5083922261484098,0.5083922261484098,0.8279840269624295,0.4779151943462897,0.4779151943462897,0.059947871416159856,0.7572590011614402,0.781194251358484,0.30327905701219426,True,800,861,0,0,1,5.73880389999249,True,review-revision-016
floor_rounding_saturation,8119,per_platform_qat,0.5083922261484098,0.5083922261484098,0.8279840269624295,-0.015459363957597172,0.015459363957597172,1.0304083405734143,0.14750290360046459,0.16885647173241264,0.15339710777481547,True,800,861,800,280,108928,30.406474000003072,True,review-revision-016
floor_rounding_saturation,8119,supervised_target_retraining,0.5083922261484098,0.5083922261484098,0.8279840269624295,0.18595406360424027,0.18595406360424027,0.634231103388358,0.41579558652729387,0.4441877974135445,0.25823373380930426,True,800,861,800,280,108928,28.988363999989815,True,review-revision-016
