seed,center_target_identity_fraction,center_target_identity_inputs,continuous_grid_identity_cost,deployed_model_artifact_hash,deployed_model_hash,grid_family_identity_fraction,grid_family_identity_inputs,grid_pair_disagreement_fraction,labels_used,max_unique_predictions,mean_unique_predictions,method,optimization_steps,repair_report_hash,trainable_parameters
1701,0.1640625,21,0.0,9871b6e0c0daecac610eb993364ec7551501ee9711769a5a74f54ae50edc1ed6,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,0.1640625,21,0.8352623456790124,none,2,1.046875,no_repair,0,,0
1701,0.828125,106,0.109375,0254b88e424b6dd46401f2bf4afded865d5c175e79e4b6f6d7c85d7facf7b5ca,14a6f558b453eb8aca32879197d30d1f355a042d868af7cf7c19e0cef79ac249,0.71875,92,0.17361111111111116,none,3,1.203125,certificate_directed,280,7faa8aa15a96675d8e6e54f400b285461019140ca67bb116239df9bb98a7c7d1,640
1701,0.8359375,107,0.09375,18cf4a337b6a562324dfafcb1a7d80d38db488c383784ce20be32e58113ac7a5,61e501439087b3805dfe059e8b43e6e18ef32ae997d37348f7bfc6c7372162fd,0.7421875,95,0.18267746913580252,none,3,1.1796875,logit_only,280,cd9274152bdd16344f288f90506fb26d530bbac3bb22e623b607dd458b640f91,640
1701,0.328125,42,0.0390625,1817c964fda6b48cca123a23169eb6a77244d72ecaa026a5a5a55ffae85c2cd5,b8e17b10fd317a5f3f859610ea47e9c9cea14891ef3751eca59bd0e77d7cfd31,0.2890625,37,0.6701388888888888,none,3,1.1328125,global_threshold,0,803d0e6d8e71ecbaacc9a6215467c2c7e141b5b5c7dcba9c3d5f779d97f90c88,1
1701,0.8515625,109,0.1171875,4f9c4356cdf2581943cf3fa0ada47bc7edc1a5143d5791adfb138614f9ea15dd,82d8d4a85529b6a46665d646fdac97bf104b4fab87e1380208abb6afc77e4bd8,0.734375,94,0.1615547839506173,repair calibration labels,3,1.234375,per_platform_qat,280,cb5144589e70a933bfed68344b8dd292e1efeaf7b17f00d1d2d174d39ba6f08b,108928
2718,0.265625,34,0.015625,96e212e49fbaf7f15dc6547ebc71b5c646f211a8eba6a4b586cd185c0f4809c4,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,0.25,32,0.7357253086419753,none,2,1.1171875,no_repair,0,,0
2718,0.8359375,107,0.09375,4661c8bb7aaa219aa60d28d6a4dc1382b049c2d7d29df6f7f8aebc5ff7aabbcd,41c6a3026e8eacd27cb49caadae815018f333fdec4225b5cb73c4dc1ef9ebab1,0.7421875,95,0.17881944444444442,none,4,1.171875,certificate_directed,280,b268770cd7b9b704464e26216897df8b0297d2e928118eb747455e6b6f0c88c1,640
2718,0.8515625,109,0.1171875,d70eb75a798dc6f1dde25bca845575c95c78442548d0a8f1345bccd9a02f7c29,287c035cef104d83fc77e7c23f1946ef17da1e3e10c637baf17034d996a4035f,0.734375,94,0.15316358024691357,none,5,1.2265625,logit_only,280,cb4e68f7cfefaa43a9f5e70f46527b0e10df7f71ff31c97148a3f62b23c11eae,640
2718,0.328125,42,0.0546875,e978f9897dab2ab1c200121850ff0ecf0afd7d936c39fc6f20f10c9a766ee417,a0babb08b052af1b2a78735baff3e7787cb20a1bab707565242af0de0c01c0cc,0.2734375,35,0.6744791666666667,none,3,1.1875,global_threshold,0,29457c6bc87d0f0ca2d9a2aa22c9a798f06b4c60232b6be721a72cf5c80d91c4,1
2718,0.765625,98,0.0546875,9f075d93db3335dff1c1cfb1b3a69b14ce42f7383578dca5bf7b16038daaa4f7,2b8e6a56e02e8a64b279a6798920cfad44e00ebcf0bd6194ec03af07c70543b3,0.7109375,91,0.22058256172839508,repair calibration labels,3,1.2109375,per_platform_qat,280,db52bd42f9cb4b917959d78a1760ca9c6f2579fb1ce79a03159071c51a4faff7,108928
3141,0.234375,30,0.0234375,0c10646241067027692cbf89ded26417fe97a3899b43eb74c9bbed774c1bbdf3,44373033a3b4d346f69ab40b8f5b684ba587d3b41d36b3019d36d6dec5dbacde,0.2109375,27,0.7633101851851851,none,3,1.15625,no_repair,0,,0
3141,0.828125,106,0.1171875,2deede9bf73faff0b1cedb7375f11cf87b492f981273fb5ac35b70adff58055b,362149c39c6626e58e7b520b401c90c819cf59b67687a59e3a2288f52b370578,0.7109375,91,0.17592592592592593,none,4,1.265625,certificate_directed,280,5cf6bc57e94e37e77360929a92ef8a5da9659a83c85f2a36ba293539671ea631,640
3141,0.875,112,0.0859375,67add1a49de75ebdf0e272751dadfe2d7950e3fc83fbc219bc5cb6624df399c0,0c3a2a52f8980e334ecde9e5065745d9981df5f885e56934af048734247ef7f5,0.7890625,101,0.136670524691358,none,3,1.1640625,logit_only,280,f28a270ff7e1b5722c865f72e6acf4e245debff473db2626a6d627049a198b36,640
3141,0.234375,30,0.0234375,3ea48ad55d519f0d09873836c22134a555347d0823147cb65f9d6a41385d07f5,5ae3cb87825c5c5ae554987a37e05b8ab99b38be9928945d071397837fa4bac6,0.2109375,27,0.7670717592592593,none,3,1.109375,global_threshold,0,c555c225740a91d2cee3f3e6b55d7810b0e2908b81c7d31c38f6b80a6a6bd823,1
3141,0.796875,102,0.1171875,bbd3fad91bb8be32bed7bd728b4cc02a0e92855b6b6cf797e49ebfedad012d7a,d875bf75714c160a4cd67a531691a41e5d39d4d72a185018967660d080471f43,0.6796875,87,0.19762731481481477,repair calibration labels,3,1.25,per_platform_qat,280,1b0a3429a548c0964b3d0f5133af44ace99d4d128eb83df4970d5cfa06a4b403,108928
5772,0.171875,22,0.0078125,4e7aeaae601d203ed022bb8fa9278fa47255af1f82cee9d422906c325d8627c3,ae0263c1c2616b6bbdd699b37371e1bccc0c1302794f6a6007d810d4910cbae0,0.1640625,21,0.8267746913580247,none,2,1.0625,no_repair,0,,0
5772,0.8203125,105,0.0703125,5247858eeddb8d910c94af2ec8f7fa572a643c9bff9f7d56ee2447112394f7cd,732a79c375ef9aa58ace83780e898da087b2e56cbc98530530b9e752709cae67,0.75,96,0.1831597222222222,none,4,1.25,certificate_directed,280,4f84703e4ec3ef8d4c0a5213e27b31a2a5ab1d04b29b3a1b3c4a6ecd44a61b61,640
5772,0.828125,106,0.1171875,0ef6b842faa2ce4a3cd6a37b68e738fc465f574a57f2c6b369eabd37bd22fe40,c48602c579a6ef399c7409d7a570422647dd23ae9a2d5caf03cdbd7a2dceadba,0.7109375,91,0.18229166666666663,none,3,1.2109375,logit_only,280,bddecc7a399cf8741830efb62185f6f15a7e14c96a5f917643c0675f42ee4446,640
5772,0.2421875,31,0.0546875,326eed2f8cb268ba2ca915929fa4fe2118e51fc01eb1b85790ed383b7c4757a8,3c7059f7febaca950a6448f4b21ba859ea473e2510a028d375b660c329523745,0.1875,24,0.7589699074074074,none,3,1.1796875,global_threshold,0,3c9975e895b88ce0bd33241b70fcb350ee6f824c376ecbe415d4128407bbf3da,1
