seed,center_target_identity_fraction,center_target_identity_inputs,center_target_identity_packed_hex,continuous_grid_identity_cost,deployed_model_artifact_hash,deployed_model_hash,grid_family_identity_fraction,grid_family_identity_inputs,grid_family_identity_packed_hex,grid_pair_disagreement_fraction,labels_used,max_unique_predictions,mean_unique_predictions,method,optimization_steps,repair_report_hash,trainable_parameters
1701,0.15911730545876887,137,c002203802082081000004420420941004000080022480010200040000228400060150004ba020000460b208400028020003301028104000186406200c100650002a08410000148200008010100c08800822001109101010810100a8a0880221140010080202111000070015,0.0034843205574912883,9871b6e0c0daecac610eb993364ec7551501ee9711769a5a74f54ae50edc1ed6,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,0.15563298490127758,134,c002203802082081000004420420941004000080022080010200040000228400060150004ba020000460b208400028020003301028104000186406200c100650002a08410000140200008010100c08800822001109101010810100a880880221140010080202111000070015,0.8381153123700549,none,3,1.0778164924506388,no_repair,0,,0
1701,0.8385598141695703,722,edb7ffffffffffdb87bbf9e76effeffaf9f9afff8fefd6ffef76efdffff7ddefdbfffffffbbdfebf7f7bfdfff7ffb3e7fbfff7fdeb75eefdffef6feff6f764fedebefef67efbfffbffdb7e7ffddf7fdaed7bbfbdfffbefffb9ef77fe3efcfbfffddfffffdfdfefbffedfff1d,0.07781649245063882,0254b88e424b6dd46401f2bf4afded865d5c175e79e4b6f6d7c85d7facf7b5ca,14a6f558b453eb8aca32879197d30d1f355a042d868af7cf7c19e0cef79ac249,0.7607433217189314,655,ed27f7ffbf7f5fc381bbe9e76efdeff279d9afff8f6fd6fdef76efdffeb7d5efdaffffffb8bdf6bf6b7bfdfff7ffb263fbbbf7fdeb75eafd7bef6fedf6f764fedabefef646f3fdebfddb327dfddf7fd2e57bbf9dfffa6fdfb9ef77fe3eecfbfdb9defffddddfa6bffed7df1d,0.16013535796733624,none,3,1.173054587688734,certificate_directed,280,7faa8aa15a96675d8e6e54f400b285461019140ca67bb116239df9bb98a7c7d1,640
1701,0.8617886178861789,742,fff7ffffef75dff7bf3ff9f7ee6fefeafb5dbff7df7fded7ff5befffda9ffdefddddffdfbcbdfffffb7fffffffff3bf7fffbf7f5cff5fef5ffef6fffbdff56ffdfbffff7efff7f7bd7ffff7ffdff6fdfff7ffe9deffbefdff9fdffff7ffffefffbfefdffffdfeabfffdfff15,0.07897793263646924,18cf4a337b6a562324dfafcb1a7d80d38db488c383784ce20be32e58113ac7a5,61e501439087b3805dfe059e8b43e6e18ef32ae997d37348f7bfc6c7372162fd,0.7828106852497096,674,ffe7f7ffef75dfc39f3bf9f7e66dc7e27b5daff74f6fded7ff53effada97d1efddd5ffdfbcbdfff7fb7dfdfbffef32f7fddb77f5cff5feb56fef6fffb4ff56ffdbbefff6efff7f7bd7df7f7ffddb6bdeca7bfe9d6ffbe7dff9fdffff7feffadfe39efdffffdfaabffac7ff15,0.14529473337061416,none,4,1.164924506387921,logit_only,280,cd9274152bdd16344f288f90506fb26d530bbac3bb22e623b607dd458b640f91,640
1701,0.30662020905923343,264,e604773a0649080300608442aa68c41264500ac64a26401166000d8882960068048071d49ea5f0040530b21201442840080132102310228013474a3e0c93805208200c6f02a1402244819421180848800822b4158c305111006e4098a187a2659484198002c8311d50458915,0.06271777003484319,1817c964fda6b48cca123a23169eb6a77244d72ecaa026a5a5a55ffae85c2cd5,b8e17b10fd317a5f3f859610ea47e9c9cea14891ef3751eca59bd0e77d7cfd31,0.24390243902439024,210,c604373a02490803002084422a68c412645002c60226401166000d0880060008040070149e85f0040520321201442840080122100310028011474a2c0403805208200c6500a1402244019001180848800022b4158c30001100244018a187a225840410000088311550058915,0.6941397456302605,none,4,1.207897793263647,global_threshold,0,803d0e6d8e71ecbaacc9a6215467c2c7e141b5b5c7dcba9c3d5f779d97f90c88,1
1701,0.8548199767711963,736,febff7fb7f5fefdff7bff5f7ff79dffbf7dd77ff7fefeed5ffdaefdbfdfff1edcfdbefdffffdbfefffffffefffffb96bff9ff7fdef7ffa67efef7feffdd766fedefeff7ffefdff7bffff7f7ffddf7fdfebffbfbfef7b7fdd7bfffdfbf7fffbffff9efdfcfbdfeefffedfff1d,0.05226480836236935,4f9c4356cdf2581943cf3fa0ada47bc7edc1a5143d5791adfb138614f9ea15dd,82d8d4a85529b6a46665d646fdac97bf104b4fab87e1380208abb6afc77e4bd8,0.8025551684088269,691,f6b7f3fb1f576fd7b53ff5d77f79d7faf4dd67ff6f6fced5efdaefdaf9fff1edcfdbefdffffdbfefff7fffebffffb163fb1ff7fdef7ffa23efef7feff5d766fedebeff7ff6f5ff7bffff5f7ffddf7fdfebffbfbfef7a7fdd6bfffdfbf3fffbffff9ef9fcdbdfe6fefedfff19,0.14414763195251,repair calibration labels,4,1.1533101045296168,per_platform_qat,280,cb5144589e70a933bfed68344b8dd292e1efeaf7b17f00d1d2d174d39ba6f08b,108928
2718,0.23925667828106853,206,e012a02c9308a081030051408620250a0604208043a4800822c0140000408502060050006ae02000046102304080290206a37010291040008844067003108e58002b0849024014120040c410300d08801833005599945110891900aa00cb122114801008024a10130a070a13,0.022067363530778178,96e212e49fbaf7f15dc6547ebc71b5c646f211a8eba6a4b586cd185c0f4809c4,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,0.21718931475029035,187,e012a02c9308a081010051408420250a0404208043a0800822c0140000408502020050006aa02000046102304000290206a33010281040000844067003108658002b08410200141200408410300d08801823005589945110890100aa00cb122114801008024a101302070a13,0.7623205861688247,none,4,1.1277584204413473,no_repair,0,,0
2718,0.8385598141695703,722,feafdfffffdfff93971fffff7efbdfeef1f9efff7bfffefcfff7ff7cfdf7ffef7fabf8fffeff7a7d6fffdffbaf66f3c7fc1bf6fdffd7feedefefffffffbee6fe7fbfbf7faf7f7ff3f7fdff7ff5bffffafd7fff7fef7fefdfe7fffff67efffffb3dfdfbfedbff2dfffbefbf11,0.07433217189314745,4661c8bb7aaa219aa60d28d6a4dc1382b049c2d7d29df6f7f8aebc5ff7aabbcd,41c6a3026e8eacd27cb49caadae815018f333fdec4225b5cb73c4dc1ef9ebab1,0.7642276422764228,658,feafdf3f2fddef93871fffff7efbcf62f1f9affb7bfffefcff73ff5cfdd7ffaf5f8bf8dffeff7a7d69ff9ffba746f347fc1bf6ddef57f2adebef3fffe7bee6fe7dbfbf77af7f5df3f7edff3de5bffffac97ffe3ecf7fefdfe7fff7f67afffbfb3dfda9fedbdf2cf7f3efbf11,0.1562065356103296,none,4,1.1881533101045296,certificate_directed,280,b268770cd7b9b704464e26216897df8b0297d2e928118eb747455e6b6f0c88c1,640
2718,0.8768873403019745,755,ff3fffff6ffdffa79d5ffdfffeffefeafdfdeeffdbfffffeffe3fffefff7ffffffeffdfffffffa7fff7fdfbfffeefbffff9ff2dfeb7ffeedcfcf3ffffebcfefeffbfffffefff7ff3f7fdfffdeffffff2db7ffeffffffffdfebfffffe7efffffb7fffbbfeebdfabff76dfbf13,0.09059233449477355,d70eb75a798dc6f1dde25bca845575c95c78442548d0a8f1345bccd9a02f7c29,287c035cef104d83fc77e7c23f1946ef17da1e3e10c637baf17034d996a4035f,0.7862950058072009,677,ed2feff72dddff87095ff9f7fefbefeaf5f9aef75bfffffeff63ff4efef7ffff7fcffdff7ffffa3fef7f9fbfadeefb7ffd8ef25deb5ffeedcbcf3fdfb6bceebeddbfbf7beffd7eb2f7fdffbdefff7ff2db7bbeffffffebdfeb6ffff67effbafb3effb9f6cbdf287f72dfbf13,0.12916361967852485,none,5,1.173054587688734,logit_only,280,cb4e68f7cfefaa43a9f5e70f46527b0e10df7f71ff31c97148a3f62b23c11eae,640
2718,0.2961672473867596,255,9202a83a8389a0830301d04080e2e62c0c442cc042a4501002c0140002a2304a127050004ae5302005621231008029820ea33210291040900947067a8b108250112b014d0240c4126241d491180c4880082380559f9c50918d0b01a820c3922314009000420b12172a070813,0.05226480836236935,e978f9897dab2ab1c200121850ff0ecf0afd7d936c39fc6f20f10c9a766ee417,a0babb08b052af1b2a78735baff3e7787cb20a1bab707565242af0de0c01c0cc,0.24390243902439024,210,9202a83a8208a0830301d04000e2e6000c4428804224001002c014000022200a027050004ae53000056212310080298206a0321029104010094706728b108250012b0149020004026241d490100c4880080300559b9450918d0300a02083122310001000020a121722070813,0.7113175893663699,none,3,1.173054587688734,global_threshold,0,29457c6bc87d0f0ca2d9a2aa22c9a798f06b4c60232b6be721a72cf5c80d91c4,1
2718,0.8548199767711963,736,e637fbfffffddf87551ff5f37ff9efebfbd973f6ffffd7d0effaef1efed7dbffffcffffffefffb7fef7ddffffd6fb77bffbfffffffd7feafefdf7ffffebffffefdbe7f77f7f5ff73fffbbffdffdfeffbff7fffbfeff6fffff7fffff337fffffffdbffdfddfdfbefffbffff1f,0.0662020905923345,9f075d93db3335dff1c1cfb1b3a69b14ce42f7383578dca5bf7b16038daaa4f7,2b8e6a56e02e8a64b279a6798920cfad44e00ebcf0bd6194ec03af07c70543b3,0.7886178861788617,679,e437fbffbffddf87511ff1f37ef9cfeafad973f6eb67c7d0eff2ef1efcd7dbefffcbfbfffefffb4fef79dfeffd6fb17bff9bf7fdefd7fe23cfdf7ffff6bfe7befcbe7f77f7f5ff73fffbbffdffdfedfbeb7fff3ceff2fffde7fffff337ffffeffdbef9fcdfd7aebefaffff1f,0.14789005032907476,repair calibration labels,3,1.150987224157956,per_platform_qat,280,db52bd42f9cb4b917959d78a1760ca9c6f2579fb1ce79a03159071c51a4faff7,108928
