seed,center_target_identity_fraction,center_target_identity_inputs,continuous_grid_identity_cost,deployed_model_artifact_hash,deployed_model_hash,grid_family_identity_fraction,grid_family_identity_inputs,grid_pair_disagreement_fraction,labels_used,max_unique_predictions,mean_unique_predictions,method,optimization_steps,repair_report_hash,trainable_parameters
1701,0.7526132404181185,648,0.12891986062717775,9871b6e0c0daecac610eb993364ec7551501ee9711769a5a74f54ae50edc1ed6,a3c56d1d56c161f62455f3df21e37d36ebc2e85239a34778b911e15b82877b77,0.6236933797909407,537,0.24635436830558777,none,4,1.3600464576074331,no_repair,0,,0
1701,0.8583042973286876,739,0.09407665505226481,610ef961232680452636b7ffbb9ce1e8371614d72a668ecf46b7e71a77f30c92,3b4e0a670ed51842c97e7eb59cbbf34bd88e92bd49fefec4792a78d22e3e2e2b,0.7642276422764228,658,0.13699258685708549,none,4,1.2288037166085946,certificate_directed,280,c0c7c4ef4747038bb1bfc248462cf27d374a8554f383ecbcbc400aa17aa1323a,640
1701,0.8745644599303136,753,0.12775842044134733,b85ebea3a28466747f7ca51cc8d19d51abaa67def7287c462ca083b3def607bb,5c3362d92a3168f0a0ada5aa88c89a4f7fd39ad5718f185757348ba76b484170,0.7468060394889663,643,0.126654335326422,none,4,1.2740998838559814,logit_only,280,d2a69093fce9fa67001896e3df4946e1390fe45291df0f060e105cb5f3b6fff7,640
1701,0.8397212543554007,723,0.14750290360046459,ad4e45b63f6ccc8bd980d2d837155068f5a1337d8f65ef93d48d653188186651,e7af177f68e459dafec1cb7c5f3ffeac2e962814c669a815065ef25997a98e1a,0.6922183507549361,596,0.16914010409945368,none,5,1.3391405342624856,global_threshold,0,a515bbaf36353dca1b014100d863c8632636784cd9a57ef6130f36f6a90f61b1,1
1701,0.8641114982578397,744,0.09988385598141691,eb23084fd4a35f975c4ae61e31b40c37d00fdefa630e7220d783a0198311c8d9,17495e60eac7cce3dc183ffae48923600cda2997064f5804f9d4c8f7e0e131cd,0.7642276422764228,658,0.14231226968354338,repair calibration labels,4,1.2264808362369337,per_platform_qat,280,89550e494340ec6cda5c0ec979cef8ff06ac444ce1d53eca267e2386356fb1e3,108928
2718,0.735191637630662,633,0.11498257839721249,96e212e49fbaf7f15dc6547ebc71b5c646f211a8eba6a4b586cd185c0f4809c4,fc9b56d440c18f0a6f8610d9d129815b0933e638782eae56ab5c0625a32739bd,0.6202090592334495,534,0.2682353278559241,none,4,1.3507549361207898,no_repair,0,,0
2718,0.8815331010452961,759,0.10569105691056913,2f4147868ac97a0cf14f264b9e0c93bffff47f6d3eebc6045ae748c08f7534ab,6b3b475f5fa957f3ea126a4f2b02a541966b855c79fb7c73ba0b93296c8da46f,0.775842044134727,668,0.11674624682754764,none,4,1.2346109175377469,certificate_directed,280,8b54bce98c4cb5443413499d889689faa5ca6a97b088f416f2943f398ad478dd,640
2718,0.875725900116144,754,0.11614401858304302,b4ee964410d05a5378d4608bce9b06163bd290872d12aec6e3c574f3269d97a0,9d15bbc2831e1d2fcd7b03a571911efef43a92ca704727756b74c12a48479490,0.759581881533101,654,0.12785879181543136,none,5,1.2520325203252032,logit_only,280,cb84f5f0499733ac94227f59262fbbd2373d3af22aaee5cfae8d871b18b14849,640
2718,0.8490127758420442,731,0.16027874564459932,61976001ae3a138bd9d881c27617c041a594210c182df4e30808315bd5c79ce3,ddbb2c82415d16beb4af354a51253953aa460631457350a3f170265e42cd3598,0.6887340301974448,593,0.15981990507735766,none,5,1.3089430894308942,global_threshold,0,61b03cde44d7ae930e9f67711ebe6d79d961dc96f054aa986c03fa65b7268358,1
2718,0.8292682926829268,714,0.0987224157955865,5c63a5ad130243f264bf6682776121d30c63d8b10e5a85cfdcb3300b836b27ce,49907dec6d555846fc59e18fb6b52c60c550739d502620821c964d1b026405df,0.7305458768873403,629,0.17316929783054447,repair calibration labels,3,1.1927990708478513,per_platform_qat,280,a973a8a779f4cd9c0cc730e38e0f158d8f0d3b74213a5c777aa0665aeeb6bb57,108928
