seed,center_only_prediction_identity_fraction,center_only_prediction_identity_inputs,continuous_grid_identity_cost,grid_prediction_identity_fraction,grid_prediction_identity_inputs,member_count,member_indices,subfamily
1701,1.0,128,0.15625,0.84375,108,1,[0],reference_member
1701,0.734375,94,0.171875,0.5625,72,2,"[0, 2]",reset
1701,0.8046875,103,0.140625,0.6640625,85,2,"[0, 8]",integration
1701,0.828125,106,0.140625,0.6875,88,2,"[0, 4]",timing
1701,0.828125,106,0.140625,0.6875,88,2,"[0, 1]",delay
1701,0.5859375,75,0.1484375,0.4375,56,4,"[0, 1, 2, 3]",reset_delay
1701,0.6640625,85,0.109375,0.5546875,71,4,"[0, 4, 8, 12]",integration_timing
1701,0.359375,46,0.0703125,0.2890625,37,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",full
2718,1.0,128,0.203125,0.796875,102,1,[0],reference_member
2718,0.7109375,91,0.140625,0.5703125,73,2,"[0, 2]",reset
2718,0.84375,108,0.1640625,0.6796875,87,2,"[0, 8]",integration
2718,0.8046875,103,0.140625,0.6640625,85,2,"[0, 4]",timing
2718,0.8046875,103,0.140625,0.6640625,85,2,"[0, 1]",delay
2718,0.5234375,67,0.109375,0.4140625,53,4,"[0, 1, 2, 3]",reset_delay
2718,0.6171875,79,0.109375,0.5078125,65,4,"[0, 4, 8, 12]",integration_timing
2718,0.34375,44,0.0625,0.28125,36,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",full
3141,1.0,128,0.1953125,0.8046875,103,1,[0],reference_member
3141,0.7734375,99,0.1796875,0.59375,76,2,"[0, 2]",reset
3141,0.8203125,105,0.125,0.6953125,89,2,"[0, 8]",integration
3141,0.828125,106,0.1484375,0.6796875,87,2,"[0, 4]",timing
3141,0.828125,106,0.1484375,0.6796875,87,2,"[0, 1]",delay
3141,0.6015625,77,0.140625,0.4609375,59,4,"[0, 1, 2, 3]",reset_delay
3141,0.671875,86,0.125,0.546875,70,4,"[0, 4, 8, 12]",integration_timing
3141,0.3984375,51,0.078125,0.3203125,41,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",full
5772,1.0,128,0.140625,0.859375,110,1,[0],reference_member
5772,0.8125,104,0.15625,0.65625,84,2,"[0, 2]",reset
5772,0.8984375,115,0.1328125,0.765625,98,2,"[0, 8]",integration
5772,0.8828125,113,0.140625,0.7421875,95,2,"[0, 4]",timing
5772,0.8828125,113,0.140625,0.7421875,95,2,"[0, 1]",delay
5772,0.6484375,83,0.1328125,0.515625,66,4,"[0, 1, 2, 3]",reset_delay
5772,0.734375,94,0.1484375,0.5859375,75,4,"[0, 4, 8, 12]",integration_timing
5772,0.3828125,49,0.0703125,0.3125,40,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",full
8119,1.0,128,0.1953125,0.8046875,103,1,[0],reference_member
8119,0.796875,102,0.1640625,0.6328125,81,2,"[0, 2]",reset
8119,0.8515625,109,0.2109375,0.640625,82,2,"[0, 8]",integration
8119,0.84375,108,0.1640625,0.6796875,87,2,"[0, 4]",timing
8119,0.84375,108,0.1640625,0.6796875,87,2,"[0, 1]",delay
8119,0.6484375,83,0.140625,0.5078125,65,4,"[0, 1, 2, 3]",reset_delay
8119,0.71875,92,0.140625,0.578125,74,4,"[0, 4, 8, 12]",integration_timing
8119,0.40625,52,0.0546875,0.3515625,45,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",full
