task,seed,variant,sample_id,canary_index,source_prediction,emulator_prediction,hardware_prediction,evaluation_label
shd,1701,original,shd-test-00005,0,9,18,18,5
shd,1701,reset_repaired,shd-test-00005,0,9,18,18,5
shd,2718,original,shd-test-00005,0,5,5,5,5
shd,2718,reset_repaired,shd-test-00005,0,5,5,5,5
shd,3141,original,shd-test-00005,0,5,5,5,5
shd,3141,reset_repaired,shd-test-00005,0,5,5,5,5
shd,5772,original,shd-test-00005,0,5,18,18,5
shd,5772,reset_repaired,shd-test-00005,0,5,5,5,5
shd,8119,original,shd-test-00005,0,9,18,18,5
shd,8119,reset_repaired,shd-test-00005,0,9,5,5,5
shd,1701,original,shd-test-00011,1,14,14,14,14
shd,1701,reset_repaired,shd-test-00011,1,14,14,14,14
shd,2718,original,shd-test-00011,1,0,10,10,14
shd,2718,reset_repaired,shd-test-00011,1,0,0,0,14
shd,3141,original,shd-test-00011,1,0,10,3,14
shd,3141,reset_repaired,shd-test-00011,1,0,0,0,14
shd,5772,original,shd-test-00011,1,14,14,14,14
shd,5772,reset_repaired,shd-test-00011,1,14,14,14,14
shd,8119,original,shd-test-00011,1,0,0,0,14
shd,8119,reset_repaired,shd-test-00011,1,0,0,0,14
shd,1701,original,shd-test-00012,2,7,17,17,12
shd,1701,reset_repaired,shd-test-00012,2,7,17,17,12
shd,2718,original,shd-test-00012,2,0,2,17,12
shd,2718,reset_repaired,shd-test-00012,2,0,17,17,12
shd,3141,original,shd-test-00012,2,17,17,2,12
shd,3141,reset_repaired,shd-test-00012,2,17,17,17,12
shd,5772,original,shd-test-00012,2,17,17,17,12
shd,5772,reset_repaired,shd-test-00012,2,17,17,17,12
shd,8119,original,shd-test-00012,2,12,2,2,12
shd,8119,reset_repaired,shd-test-00012,2,12,7,7,12
shd,1701,original,shd-test-00014,3,0,17,17,0
shd,1701,reset_repaired,shd-test-00014,3,0,0,0,0
shd,2718,original,shd-test-00014,3,0,17,17,0
shd,2718,reset_repaired,shd-test-00014,3,0,0,0,0
shd,3141,original,shd-test-00014,3,0,17,17,0
shd,3141,reset_repaired,shd-test-00014,3,0,0,0,0
shd,5772,original,shd-test-00014,3,0,17,17,0
shd,5772,reset_repaired,shd-test-00014,3,0,0,0,0
shd,8119,original,shd-test-00014,3,0,0,0,0
shd,8119,reset_repaired,shd-test-00014,3,0,0,0,0
shd,1701,original,shd-test-00019,4,13,13,13,13
shd,1701,reset_repaired,shd-test-00019,4,13,13,13,13
shd,2718,original,shd-test-00019,4,13,5,5,13
shd,2718,reset_repaired,shd-test-00019,4,13,5,13,13
shd,3141,original,shd-test-00019,4,13,5,13,13
shd,3141,reset_repaired,shd-test-00019,4,13,13,13,13
