sample_index,window_index,logit_0,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9,logit_10
0,0,-944,3412,-2244,1612,828,-4608,-3836,-6600,-2764,-2268,724
0,1,-740,2604,-1748,1420,864,-3532,-3004,-5168,-2096,-1868,1084
0,2,-888,3960,-3836,1660,-12,-4496,-4104,-5404,-4032,-3672,-76
0,3,-1284,4676,-4800,1916,-64,-4452,-4384,-4716,-4420,-3888,-772
1,0,-400,-48,64,64,-96,-104,-188,-1344,-276,32,308
1,1,-828,-160,-724,-184,-104,-552,-672,-2604,-488,388,532
1,2,-1364,-156,-428,608,-100,-548,-856,-3960,-572,120,896
1,3,-788,-1128,-708,-628,-444,-684,-548,-1584,-316,360,336
2,0,-2712,-3460,2888,-956,-1916,540,736,-5368,-3552,-4880,-68
2,1,-2456,-3264,3048,-908,-1852,396,852,-5152,-3788,-5664,268
2,2,-2236,-2620,2496,-684,-1644,68,636,-4632,-3500,-4724,-4
2,3,-1828,-2036,2188,-472,-1372,-148,628,-3996,-3140,-4168,-16
3,0,-740,468,-784,692,464,-1640,-1520,-2744,-404,-236,696
3,1,-836,612,-808,796,388,-1584,-1488,-2788,-412,-188,816
3,2,-656,720,-1100,956,556,-1868,-1768,-2924,-540,-204,740
3,3,-740,508,-1188,1020,588,-1832,-1824,-3048,-408,-116,664
4,0,-568,512,-924,-4,652,-1252,-1180,-2204,-168,56,472
4,1,-764,-472,-1108,-224,544,-1160,-1204,-1928,-264,32,496
4,2,-652,260,-1044,232,744,-1372,-1428,-2352,-412,-200,468
4,3,-816,220,-1264,72,804,-1312,-1380,-2528,-148,-44,568
5,0,-1344,-1540,-404,-1420,-1404,-32,628,-1204,-412,544,-120
5,1,-1068,-1588,-444,-1208,-1132,-164,412,-1232,-416,232,-52
5,2,-1128,-1720,-176,-1228,-1288,-136,288,-1716,-760,0,-152
5,3,-804,-1104,-416,-996,-976,-100,452,-872,-324,260,-108
6,0,84,-392,-616,-56,0,-168,-168,112,140,28,0
6,1,104,-564,-768,-60,-44,-208,-152,148,168,32,-36
6,2,92,-416,-580,-28,-16,-212,-196,92,116,36,-8
6,3,80,-452,-592,-44,-44,-160,-104,116,128,24,-36
7,0,-760,-2384,-1812,-864,-352,-924,-1336,-1484,-400,380,292
7,1,-772,-2212,-1636,-888,-632,-988,-1292,-1656,-520,452,256
7,2,-648,-1960,-1288,-1164,-640,-1132,-844,-1496,-364,296,672
7,3,-688,-2692,-1920,-1024,-432,-1252,-1452,-1992,-456,352,696
8,0,-1144,-2688,-2332,-1112,-524,-1028,-1500,-2088,-636,616,208
8,1,-1236,-2436,-1472,-1128,-680,-1192,-1496,-2212,-960,756,124
8,2,-1268,-2532,-2772,-1128,-840,-1928,-2264,-2564,-908,892,-56
8,3,-1232,-2892,-2848,-1048,-572,-1808,-2080,-2568,-668,700,228
9,0,128,-316,-532,-144,-40,-196,-212,48,132,48,24
9,1,208,-20,-192,-240,-52,-156,-184,-48,148,8,104
9,2,276,-192,-420,-324,-84,-280,-296,-48,184,56,92
9,3,240,-248,-468,-300,-92,-240,-256,-8,204,28,76
10,0,-2124,-2880,2220,-400,-1912,1256,420,-4076,-2428,-3736,104
10,1,-2176,-2696,2228,-484,-1776,292,728,-4168,-3052,-4824,120
10,2,-2416,-3368,2048,-920,-1700,476,276,-4300,-2924,-3320,-20
10,3,-1712,-2884,1976,-700,-1484,256,240,-4012,-3140,-2640,-392
11,0,-740,96,-700,476,256,-1260,-1244,-2344,-288,60,792
11,1,-588,588,-892,736,308,-1616,-1468,-2580,-408,-256,532
11,2,-500,124,-896,892,384,-1500,-1672,-2488,-428,-80,816
11,3,-764,256,-1256,952,640,-1768,-1916,-2960,-336,-120,660
12,0,-432,448,-720,228,692,-1248,-1048,-2092,-4,28,468
12,1,-748,92,-1044,240,640,-1576,-1536,-2584,-328,-52,476
12,2,-568,-368,-888,-80,504,-1176,-1172,-1820,-204,28,572
12,3,-768,28,-976,308,652,-1472,-1472,-2108,-276,-68,576
13,0,-1880,-1724,284,-1376,-2020,548,176,-2680,-1448,-104,-440
13,1,-1644,-1676,468,-1292,-1940,516,336,-2456,-1312,-248,-260
13,2,-1812,-1604,672,-1120,-2028,708,304,-2456,-1412,-208,-404
13,3,-1880,-1768,356,-1388,-2036,532,196,-2452,-1388,-24,-420
14,0,-1228,-1320,-124,-1136,-1456,-92,464,-1268,-604,392,-332
14,1,-1156,-1304,-316,-1080,-1164,-128,396,-1056,-408,368,-168
14,2,-1000,-1312,-236,-1164,-1272,-268,340,-1196,-544,260,-200
14,3,-1956,-2144,-52,-1812,-2048,-348,504,-2356,-1052,428,-232
15,0,44,-332,-464,-56,-20,-112,-100,100,104,-28,8
15,1,108,-548,-748,-20,-36,-240,-144,148,164,76,-60
15,2,100,-560,-724,-40,-56,-208,-120,144,156,44,-56
15,3,44,-344,-468,-124,-88,-140,-108,44,104,44,-32
16,0,-844,-2740,-2184,-1012,-628,-852,-1148,-1236,-348,372,32
16,1,-904,-2640,-1944,-1100,-724,-900,-1020,-1248,-384,440,8
16,2,-800,-2508,-1892,-1052,-648,-708,-944,-1120,-308,352,28
16,3,-976,-2792,-2160,-1176,-736,-748,-956,-1268,-388,480,-40
17,0,-2336,-3836,-2492,-1372,-1228,-1876,-2948,-4104,-1928,1404,-304
17,1,-2236,-4128,-1976,-1388,-1136,-1624,-2280,-3532,-1624,1276,-100
17,2,-1996,-3480,-2164,-1052,-832,-1604,-2464,-3444,-1484,1100,-180
17,3,-1564,-2760,-1808,-900,-732,-1436,-2024,-2768,-1172,936,-152
18,0,276,-296,-520,-440,-64,-200,-296,16,300,-100,128
18,1,280,-468,-708,-376,-80,-268,-288,68,316,-48,72
18,2,280,-344,-520,-408,-88,-224,-256,24,296,-72,88
18,3,240,-296,-400,-332,-92,-196,-184,16,244,-48,52
19,0,-268,0,-56,196,24,-144,-180,-892,-100,132,248
19,1,-328,108,-180,64,36,-264,-252,-1364,-192,176,344
19,2,-548,-160,60,104,-144,-108,-204,-1464,-312,48,356
19,3,-388,-268,56,-76,-260,-76,-32,-796,-260,-28,132
20,0,-1332,-1924,1356,-300,-1068,736,136,-2504,-1608,-3032,4
