sample_index,window_index,logit_0,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9,logit_10
0,0,-3448,8164,-8776,4688,8028,-8188,-4064,-8252,-3428,-4764,-2476
0,1,-1936,5964,-6148,3872,6124,-6588,-2832,-5720,-3068,-3808,-2512
0,2,-3664,7736,-8352,3752,6024,-8160,-3612,-7132,-3252,-5352,-3144
0,3,-3420,7336,-8432,2048,4408,-8760,-2928,-6560,-3752,-6984,-4008
1,0,-828,-468,-1524,-336,292,-928,-952,-1224,0,-1600,432
1,1,-2064,-1312,-3124,-124,484,-684,-1104,-1764,612,-252,1440
1,2,-696,-932,-3016,-44,888,-1892,-1972,-2468,296,-2064,1216
1,3,-2716,-3520,-2984,-516,488,-520,-1016,-692,292,-292,784
2,0,-5048,-9364,4864,-1504,-3928,-2396,3836,-11420,-6964,-7316,-5296
2,1,-6300,-9180,5120,-2032,-4204,-4116,3248,-12348,-7368,-8708,-5000
2,2,-6080,-9508,5564,-1912,-4608,-4580,4228,-11968,-6944,-9524,-5028
2,3,-5480,-8624,5492,-2276,-4380,-5416,3800,-10420,-6244,-9564,-4744
3,0,-2244,992,-4184,2760,2392,-3216,-2216,-2916,-1124,-480,104
3,1,-2312,1136,-4596,3116,2548,-3612,-2040,-2864,-1404,-1220,-168
3,2,-2528,1836,-4880,3400,3548,-4172,-2524,-3368,-1464,-1524,-672
3,3,-3048,1644,-4596,3464,3536,-3996,-2856,-2956,-1180,-1136,-408
4,0,-2344,344,-4780,1416,3588,-3552,-2464,-2436,-548,-2260,-196
4,1,-3208,-1984,-5664,752,2608,-2760,-2820,-1788,-104,-2076,692
4,2,-2040,608,-5308,1500,3832,-3524,-2532,-2696,-980,-3008,-724
4,3,-3432,-368,-5664,1372,3704,-3664,-3064,-2588,-468,-2356,428
5,0,-2700,-4656,-156,-988,-724,1384,2052,-1664,-852,888,-8
5,1,-2744,-5056,-132,-1084,-1452,924,1904,-2968,-1440,64,-396
