sample_index,window_index,logit_0,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9,logit_10
0,0,-2168,6028,-7424,3584,3652,-6616,-556,-6168,-4112,-4676,1816
0,1,-428,4852,-5216,2616,3644,-5036,-456,-5264,-3644,-4584,596
0,2,-2056,6368,-5372,2568,2632,-6268,-108,-4644,-4064,-5596,1608
0,3,-1420,6784,-5916,2076,2512,-5876,184,-4284,-3568,-6872,1116
1,0,-304,144,-452,136,240,-48,4,-1000,120,-416,648
1,1,-2376,-908,-1840,124,760,368,-476,-3368,404,524,2540
1,2,-1516,160,-1052,100,928,-220,-612,-2660,496,-488,2060
1,3,-2188,-2496,-2116,88,776,188,-1432,-2288,792,-312,840
2,0,-4708,-8128,3976,-4248,-4160,1984,2384,-7416,-4508,-6016,-4476
2,1,-4448,-7976,4112,-4656,-4464,976,2416,-7128,-4776,-6784,-3524
2,2,-3212,-7864,3524,-4536,-4300,512,2748,-6572,-4416,-7004,-2616
2,3,-2876,-7820,3688,-4592,-4136,-320,3108,-6240,-5324,-7816,-2020
3,0,-1880,-308,-4048,2680,1168,-3920,-2052,-4008,-1868,-1372,1616
3,1,-1792,-176,-4388,2936,1428,-4176,-2620,-3668,-1696,-1968,1588
3,2,-1436,440,-4680,2976,1848,-4596,-2628,-4120,-1920,-2536,944
3,3,-1752,396,-4960,3176,1868,-5120,-3060,-4164,-1556,-1712,1384
4,0,-2556,724,-4908,-36,4436,-4928,-3100,-3364,-520,-2156,2740
4,1,-2924,-2060,-5376,-4,4272,-4392,-3464,-3140,372,-1968,3444
4,2,-1708,176,-5384,1076,4008,-3796,-3008,-3228,-728,-2996,1828
4,3,-3160,-504,-5948,156,5156,-5140,-3372,-4672,-272,-2516,3772
5,0,-3596,-2892,336,-2168,-2240,1244,1492,-4540,-1400,1044,-1052
5,1,-2744,-3188,-260,-1768,-1808,1000,1724,-5444,-1384,732,-152
5,2,-2584,-3672,-196,-2100,-2256,1012,2120,-6276,-1704,388,20
5,3,-2220,-3360,-572,-1868,-2112,1084,2092,-4496,-1424,476,-424
6,0,452,-7860,-6448,1388,1352,788,408,4916,3204,1068,2492
6,1,896,-7840,-6484,1296,844,912,296,4624,3228,800,2244
6,2,348,-6820,-6192,800,628,-136,104,4252,2484,1240,2120
6,3,280,-7008,-6048,640,292,88,432,4092,2428,892,1860
7,0,-752,-7320,-5900,-728,236,-956,-3092,-544,1772,188,1332
7,1,-560,-6660,-6252,-204,-152,-448,-1452,-512,1412,672,1208
7,2,-1296,-7160,-6292,-684,592,-1804,-3576,-4104,912,748,2264
7,3,-952,-7780,-6152,-568,232,-1308,-3380,-3292,760,1200,1932
8,0,-3324,-8028,-5924,-1284,996,-2256,-5216,-3108,304,2636,2356
8,1,-2060,-6020,-4988,-956,760,-3764,-4728,-3704,-196,2192,1888
8,2,-1652,-6624,-6420,-208,916,-4732,-5184,-4432,-60,3028,2304
8,3,-2568,-6964,-5172,-224,556,-2896,-4376,-3624,308,2596,1816
9,0,932,-5076,-4620,624,144,-536,-516,2348,1976,680,1132
9,1,1912,-5656,-5272,836,-844,-636,-1340,2256,2172,1116,1168
9,2,1316,-5900,-4984,804,-808,-1216,-1396,1956,1784,1308,952
9,3,860,-5440,-4372,972,-300,-1180,-1308,1436,1528,1140,800
10,0,-4248,-6416,1912,-3184,-3476,1824,1360,-5268,-2052,-3424,-3040
10,1,-3360,-7112,3184,-4036,-3876,1308,2044,-6012,-3616,-5708,-3136
10,2,-1640,-6076,2800,-3040,-3148,1272,2228,-4852,-2876,-4952,-2732
10,3,-1188,-7500,3244,-3440,-3720,1248,3584,-5976,-4516,-6988,-2124
11,0,-1552,-692,-3940,2544,1148,-4000,-2672,-4904,-1572,-760,1704
11,1,-1392,88,-3704,2664,1112,-4160,-2188,-3972,-2084,-1760,1124
11,2,-1692,-436,-4480,2828,1480,-4308,-3064,-4644,-1580,-1792,1564
11,3,-1812,-116,-5964,3560,2040,-5008,-3060,-4724,-1320,-1868,1328
12,0,-2428,528,-4932,280,4652,-3948,-3336,-4052,-140,-1624,3204
12,1,-2372,216,-5800,676,4696,-4244,-3364,-4268,-412,-2044,3056
12,2,-2492,-1160,-4484,188,3760,-3176,-3492,-3276,272,-1664,3144
12,3,-1988,824,-4792,1252,3920,-3028,-2120,-3732,-500,-2252,1916
13,0,-4072,-4000,-320,-2040,-2100,2244,216,-4032,-416,888,96
13,1,-3616,-3448,-388,-1840,-1728,1836,244,-3436,-560,876,-132
13,2,-4192,-4028,416,-2320,-1720,2172,-504,-3768,-796,-188,-1156
13,3,-3824,-3508,-280,-1908,-1964,2196,544,-4068,-584,832,148
14,0,-2760,-2568,144,-1904,-2292,900,1792,-3924,-1024,740,-456
14,1,-2224,-2512,-64,-1624,-1824,784,1516,-3752,-1144,796,-380
14,2,-2404,-2380,88,-1768,-2156,800,1492,-4256,-1464,588,-576
14,3,-2668,-2440,-320,-2032,-2452,956,2512,-5980,-1784,1204,400
15,0,368,-6020,-5840,680,1140,-52,336,4224,2520,416,2016
15,1,792,-7352,-6704,1324,1220,740,588,5252,3168,1144,2604
15,2,312,-6164,-5652,1100,1012,836,860,4212,2600,1016,1980
15,3,544,-6348,-6292,1372,1532,628,476,4548,2828,996,2240
16,0,-48,-7624,-5592,352,308,744,-1404,456,2188,100,1320
16,1,48,-6892,-5524,496,324,884,-1124,580,2224,152,1240
16,2,-332,-6996,-6108,316,580,532,-1084,580,2092,580,1440
16,3,-476,-7304,-6100,408,968,636,-1184,1116,2292,556,1728
17,0,-2480,-6596,-5504,-276,788,-2468,-3372,-5360,-948,4556,2216
17,1,-2368,-5568,-2792,-532,-116,-1104,-2660,-4116,-940,2848,1348
17,2,-1592,-5244,-3968,432,792,-1528,-2360,-4976,-1024,3556,2144
17,3,-1096,-4948,-3620,492,780,-652,-1956,-3664,-408,2800,1820
18,0,648,-5708,-5240,152,-116,-548,-8,2644,2396,168,1244
18,1,892,-5556,-4328,236,-316,-64,-132,2440,2284,400,1216
18,2,308,-4828,-3888,-148,-1120,-1244,-628,1316,1280,668,684
18,3,860,-5012,-3692,64,-916,-1180,-1324,776,1232,628,568
19,0,-300,-600,-840,288,200,264,140,-820,-16,-432,900
19,1,-1084,-1068,-1172,448,384,356,4,-1456,124,-376,1340
19,2,-924,-684,-360,168,68,232,-208,-1396,-156,-520,928
19,3,-316,-988,-732,308,124,96,-196,-60,252,-244,468
20,0,-2544,-5316,1032,-2412,-3152,852,1412,-4636,-2020,-4036,-2040
20,1,-3388,-6456,1040,-3200,-3812,316,896,-5452,-3124,-5372,-2516
20,2,-3460,-6056,1464,-3128,-3416,1032,1008,-5228,-2788,-4688,-2856
20,3,-3708,-6552,2332,-3812,-3992,480,1248,-5972,-3744,-5880,-2216
21,0,-2536,-1436,-5564,1300,3812,-4148,-3156,-2016,-120,-1716,2536
21,1,-2508,1900,-4660,1092,4020,-5244,-1340,-2904,-988,-1668,2392
21,2,-4312,-1040,-6112,960,5180,-5864,-4024,-2856,468,-1524,3948
