sample_index,window_index,logit_0,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9,logit_10
0,0,-644,2768,-2608,620,888,-3264,-264,-2872,-2088,-1888,980
0,1,-336,1524,-1644,516,520,-2272,-492,-1964,-1508,-1044,496
0,2,-700,2664,-2116,656,604,-2952,-408,-2524,-2140,-2396,788
0,3,-724,2784,-2244,792,664,-2644,-132,-2072,-1716,-2556,848
1,0,-52,-180,-24,40,-156,52,84,-204,52,140,64
1,1,-280,-1004,-444,-52,-704,-212,60,-1296,68,852,328
1,2,48,-352,-408,-144,-412,-600,-264,-728,296,564,156
1,3,-708,-1244,332,-228,-764,4,184,-1556,-204,824,308
2,0,-1756,-3020,1376,-1560,-1804,328,604,-2460,-780,-2000,-596
2,1,-1728,-3352,1532,-1864,-1996,304,680,-2636,-820,-2184,-736
2,2,-1776,-3544,1504,-2120,-1964,-80,480,-2628,-1128,-2684,-680
2,3,-1664,-3268,1224,-1952,-1624,-172,532,-2388,-1168,-2472,-900
3,0,-244,-516,-900,176,-584,-1968,-928,-2752,-996,704,664
3,1,-224,-380,-580,-28,-708,-2024,-992,-2796,-1072,448,688
3,2,-324,-132,-668,348,-328,-1976,-836,-2372,-884,424,480
3,3,-432,-292,-768,404,-436,-1848,-920,-2408,-724,408,536
4,0,-20,28,-1168,-408,-8,-1732,-1288,-1804,-560,-84,376
4,1,-152,-756,-1028,-292,-24,-1500,-1364,-1804,-176,212,536
4,2,-120,-92,-1148,-316,-16,-1732,-1248,-2440,-712,-256,664
4,3,-32,-288,-1320,-268,168,-1680,-1252,-2092,-416,-24,624
5,0,-1160,-1424,480,-756,-992,372,696,-2232,-632,608,140
5,1,-972,-1592,372,-676,-1056,316,668,-2392,-656,644,180
5,2,-824,-1656,472,-944,-1264,48,612,-2908,-604,800,336
5,3,-884,-1572,132,-712,-872,268,612,-2172,-520,596,144
6,0,116,-1124,-744,-184,-396,-436,-428,-464,280,504,296
6,1,204,-928,-652,-224,-440,-560,-508,-420,320,524,188
